variable,horizon,lower,median,upper,model
interest,29,-0.0259,-0.0026,0.0179,bayesian_fd
interest,30,-0.0256,-0.0035,0.0167,bayesian_fd
interest,31,-0.0258,-0.0046,0.0151,bayesian_fd
interest,32,-0.0266,-0.0057,0.0137,bayesian_fd
interest,33,-0.0278,-0.0066,0.0122,bayesian_fd
interest,34,-0.0282,-0.0079,0.0109,bayesian_fd
interest,35,-0.0292,-0.0086,0.0093,bayesian_fd
interest,36,-0.0296,-0.0095,0.0078,bayesian_fd
interest,37,-0.03,-0.0106,0.0066,bayesian_fd
interest,38,-0.0307,-0.0115,0.0056,bayesian_fd
interest,39,-0.0314,-0.0118,0.0048,bayesian_fd
interest,40,-0.0319,-0.0123,0.0039,bayesian_fd
inflation,1,-0.0142,0.0149,0.0417,bayesian_fd
inflation,2,-0.0243,-0.0042,0.0149,bayesian_fd
inflation,3,-0.0379,-0.0202,-0.0027,bayesian_fd
inflation,4,-0.0454,-0.0292,-0.011,bayesian_fd
inflation,5,-0.0508,-0.0347,-0.017,bayesian_fd
inflation,6,-0.0538,-0.037,-0.0203,bayesian_fd
inflation,7,-0.0553,-0.0374,-0.0213,bayesian_fd
inflation,8,-0.0554,-0.0364,-0.0203,bayesian_fd
inflation,9,-0.0544,-0.0345,-0.0183,bayesian_fd
inflation,10,-0.0524,-0.0324,-0.0156,bayesian_fd
inflation,11,-0.0497,-0.0296,-0.0126,bayesian_fd
inflation,12,-0.0463,-0.0269,-0.0093,bayesian_fd
inflation,13,-0.0425,-0.0241,-0.0068,bayesian_fd
inflation,14,-0.0394,-0.021,-0.0044,bayesian_fd
inflation,15,-0.0363,-0.0182,-0.0016,bayesian_fd
inflation,16,-0.0338,-0.0153,0.001,bayesian_fd
inflation,17,-0.0307,-0.0128,0.0033,bayesian_fd
inflation,18,-0.0284,-0.0106,0.0049,bayesian_fd
inflation,19,-0.026,-0.0087,0.0067,bayesian_fd
inflation,20,-0.0243,-0.0073,0.0077,bayesian_fd
inflation,21,-0.0227,-0.0059,0.0092,bayesian_fd
inflation,22,-0.0218,-0.005,0.0098,bayesian_fd
inflation,23,-0.0205,-0.0043,0.0099,bayesian_fd
inflation,24,-0.0198,-0.0036,0.0099,bayesian_fd
inflation,25,-0.0193,-0.0032,0.01,bayesian_fd
inflation,26,-0.0183,-0.0031,0.0099,bayesian_fd
inflation,27,-0.0172,-0.0029,0.0099,bayesian_fd
inflation,28,-0.017,-0.003,0.0095,bayesian_fd
inflation,29,-0.0173,-0.0034,0.009,bayesian_fd
inflation,30,-0.0174,-0.0035,0.0084,bayesian_fd
inflation,31,-0.0172,-0.0037,0.0079,bayesian_fd
inflation,32,-0.017,-0.0039,0.0073,bayesian_fd
inflation,33,-0.0166,-0.0045,0.0069,bayesian_fd
inflation,34,-0.0162,-0.0049,0.006,bayesian_fd
inflation,35,-0.0162,-0.0049,0.0057,bayesian_fd
inflation,36,-0.0161,-0.0052,0.0052,bayesian_fd
inflation,37,-0.016,-0.0055,0.0049,bayesian_fd
inflation,38,-0.0158,-0.0054,0.0044,bayesian_fd
inflation,39,-0.0159,-0.0055,0.0041,bayesian_fd
inflation,40,-0.0159,-0.0056,0.0037,bayesian_fd
productivity,1,-0.4383,-0.378,-0.3103,bayesian_fd
productivity,2,-0.3027,-0.2366,-0.1617,bayesian_fd
productivity,3,-0.2063,-0.1344,-0.0571,bayesian_fd
productivity,4,-0.1297,-0.0566,0.025,bayesian_fd
productivity,5,-0.0732,0.0065,0.0915,bayesian_fd
productivity,6,-0.0275,0.0545,0.1455,bayesian_fd
productivity,7,0.0029,0.0891,0.189,bayesian_fd
