date,ext_vfci_f1,ext_vfci_f12,int_macro_vfci,int_fin_vfci
1962-01-01,-0.560236671448613,1.28572258236316,-1.14934006627557,-0.764840288465415
1962-04-01,0.0122278332415427,1.53028904695192,-2.27381442982465,-0.857200420032126
1962-07-01,-0.304502026378349,1.4573373653511,-0.940349119038351,-0.634568297613225
1962-10-01,-0.250290123984834,1.49648476291966,-2.03543851952064,-0.676317942606408
1963-01-01,-0.446463927576426,1.44124430213784,-1.64133089264056,-0.616896320430067
1963-04-01,-0.630176508688528,1.35346078862252,-1.54418847776149,-0.789386603795052
1963-07-01,-0.57356986199484,1.43616337936402,-1.4006278325673,-0.772048691176198
1963-10-01,-0.394717799651873,1.52903593947694,-1.54965133248157,-0.772943295490781
1964-01-01,-0.626218225789776,1.45667844593367,-1.151637820942,-0.633488234011118
1964-04-01,-0.566678101486923,1.47702528555206,-1.06899770079509,-0.656636807161675
1964-07-01,-0.576192291724565,1.47473984071159,-1.61086730064279,-0.650096459667866
1964-10-01,-0.534373555276699,1.51680629799567,-2.06385166159716,-0.619736841360453
1965-01-01,-0.485143881401858,1.60342770212357,-0.583365329350276,-0.5448164963882
1965-04-01,-0.329860625730826,1.67063737746641,-1.49139731026085,-0.565949033071397
1965-07-01,-0.454743773652103,1.61156895460225,-1.60956647841415,-0.543727782893853
1965-10-01,-0.514151046260286,1.59884850340906,-0.363126526673209,-0.519411851723797
1966-01-01,-0.431574943814834,1.66637436201143,-1.54509482410766,-0.479852486767962
1966-04-01,-0.278612968276455,1.71246057793205,-1.11269619169446,-0.552275463203837
1966-07-01,-0.0959783705649791,1.80882772146601,-0.962409958570067,-0.491169748296635
1966-10-01,-0.0822790061940809,1.78516771348372,-0.874153037740387,-0.564098407146186
1967-01-01,-0.279214479086064,1.62191368091144,-2.49087091295998,-0.669337642869656
1967-04-01,-0.39273935568,1.42646737220315,-0.0976957462143194,-0.771377540390148
1967-07-01,-0.640944853173835,1.26558935802524,-0.300902526562256,-0.881913096435459
1967-10-01,-0.567228393493599,1.28289645598289,-0.150737118837789,-0.886005725530866
1968-01-01,-0.337109719449809,1.45593770372889,-0.67774809242753,-0.769059141517019
1968-04-01,-0.243897550171472,1.62241694049696,0.117424400298052,-0.763072791146529
1968-07-01,-0.256933369965624,1.63486353664172,-1.07291944253361,-0.70963191156841
1968-10-01,-0.357851700824958,1.57934407455081,-0.212954487378206,-0.686519186936085
1969-01-01,-0.291812955915005,1.64445625004066,-0.3094334172269,-0.725426311878383
1969-04-01,-0.0733993612562774,1.95133396469671,-0.71594604738883,-0.465239390296498
1969-07-01,0.0488291199668319,2.05972100274191,-0.480717930897552,-0.395291403778518
1969-10-01,-0.0811077166584471,1.94144044492324,0.111809874981926,-0.379910762830026
1970-01-01,-0.0360867136319664,1.83497191552144,-0.334107825322444,-0.547178174365742
1970-04-01,0.117218024094828,1.7619145555152,-0.559998480357409,-0.615305945521138
1970-07-01,-0.18031431103767,1.38232157735143,-0.980660476463369,-0.891730391380206
1970-10-01,-0.330325665729759,1.15191458733197,-0.54307463398862,-1.07683575959659
1971-01-01,-0.520533030311799,0.922546480694121,-0.349926138656917,-1.22595611508337
1971-04-01,-0.545216654050447,0.984605349682087,-0.510678087564074,-1.338729951717
1971-07-01,-0.315044171959551,1.21555938578749,-0.238985698346549,-1.16118946954682
1971-10-01,-0.257211286241224,1.16548279415106,-0.652628947710375,-1.23257863095012
1972-01-01,-0.565993345041777,0.913923429885803,0.421640215911085,-1.13984313552128
1972-04-01,-0.494536171552152,1.05561677167911,-1.07805517735471,-1.07085231354299
1972-07-01,-0.493640826634144,1.13545634168407,-0.699658941195138,-1.01742078497828
1972-10-01,-0.47212522833991,1.24309719994554,-0.605481760360845,-0.96637228981754
1973-01-01,-0.237971505159067,1.56055399442043,-0.0330800692987369,-0.763281144560328
1973-04-01,0.0235807115586413,1.83642193825296,-0.483275856927269,-0.673448587275071
1973-07-01,0.191447113984341,2.25451412667408,0.114247801185896,-0.424010447253964
1973-10-01,0.513312430216804,2.28308721216517,-0.844145549305295,-0.580187621287461
1974-01-01,0.290295850227593,2.09985764716271,0.371351630388205,-0.582088736416575
1974-04-01,0.416780866127394,2.34529957697811,-0.173055527435411,-0.410135306450958
1974-07-01,0.820886541962305,2.50119244104008,0.769837212517847,-0.410332219859183
1974-10-01,0.590178634082229,1.85217408715291,-0.227510951149445,-0.983755811994679
1975-01-01,-0.0502349145795595,1.13051099991021,-1.02277092326643,-1.24647167470697
1975-04-01,-0.457959912373621,0.84998114352143,-0.485739196399646,-1.30083960375595
1975-07-01,-0.48941736577201,0.954044639566765,0.0337074564829676,-1.35315831644946
1975-10-01,-0.583427042001206,0.797248280155443,-1.11186426926295,-1.41674816209379
1976-01-01,-0.582576091343679,0.762510970232971,-0.0753989522551028,-1.37491793816279
1976-04-01,-0.553453028055549,0.913702654847048,-1.05368440285109,-1.14088389324727
1976-07-01,-0.653559237826977,0.924827443824687,-0.729622001216466,-1.16867319284894
1976-10-01,-0.531629978046081,0.971949192236263,-0.558600839768439,-1.19958717582798
1977-01-01,-0.60493623589626,0.961871819674028,-0.134715179519419,-0.926756731810229
1977-04-01,-0.523884943471437,1.08569702036903,-0.945280574839526,-0.879508061013218
1977-07-01,-0.458763915994218,1.24992657226075,-1.40384903235121,-0.752493849506502
1977-10-01,-0.341473016695061,1.38856684141608,0.463813569448745,-0.697250820594546
1978-01-01,-0.412238323926295,1.36571915750162,-0.83320273946363,-0.666802831089943
