identification,variable,weight
fevdfd_vfci_f12,output,0.305323343945074
fevdfd_vfci_f12,investment,0.108479761503611
fevdfd_vfci_f12,consumption,0.167258005397991
fevdfd_vfci_f12,hours_worked,0.249159430937138
fevdfd_vfci_f12,unemployment,0.169719044821014
fevdfd_vfci_f12,labor_share,0.039069755808501
fevdfd_vfci_f12,interest,0.780543100054418
fevdfd_vfci_f12,inflation,0.00723872235319996
fevdfd_vfci_f12,productivity,0.0762776990863025
fevdfd_vfci_f12,TFP,-0.216795245204811
fevdfd_vfci_f12,vfci,0.335417260636075
fevdfd_vfci_f1,output,0.195663835359292
fevdfd_vfci_f1,investment,0.063125355850635
fevdfd_vfci_f1,consumption,-0.116477695739201
fevdfd_vfci_f1,hours_worked,-0.163926085642422
fevdfd_vfci_f1,unemployment,0.162730557602522
fevdfd_vfci_f1,labor_share,-0.0382804670126342
fevdfd_vfci_f1,interest,-0.438664772056428
fevdfd_vfci_f1,inflation,0.0277350231069959
fevdfd_vfci_f1,productivity,0.0202682047816184
fevdfd_vfci_f1,TFP,0.0417992857414609
fevdfd_vfci_f1,vfci,-0.833061471397219
fevdfd_unem,output,0.790812957576739
fevdfd_unem,investment,-7.13372274973034e-05
fevdfd_unem,consumption,0.356258568972695
fevdfd_unem,hours_worked,0.412323964762435
fevdfd_unem,unemployment,0.0354131683734916
fevdfd_unem,labor_share,-0.0181716775526025
fevdfd_unem,interest,0.178898424527864
fevdfd_unem,inflation,0.102242706462488
fevdfd_unem,productivity,0.0811285478972218
fevdfd_unem,TFP,-0.164497052220645
