date,vfci
1962-01-01,1.35149203551058
1962-04-01,1.51612525899012
1962-07-01,1.47920867454505
1962-10-01,1.51880560513858
1963-01-01,1.49234100636772
1963-04-01,1.45095764636221
1963-07-01,1.53736903715417
1963-10-01,1.60492561119516
1964-01-01,1.55952572437663
1964-04-01,1.57268295851023
1964-07-01,1.572412084714
1964-10-01,1.61178315374515
1965-01-01,1.69582230970835
1965-04-01,1.74181881767626
1965-07-01,1.69886475487308
1965-10-01,1.69194653910645
1966-01-01,1.74539396880032
1966-04-01,1.77597277557005
1966-07-01,1.83774819431275
1966-10-01,1.81694734509428
1967-01-01,1.68485444559335
1967-04-01,1.48367723653543
1967-07-01,1.35855921537046
1967-10-01,1.36196556660425
1968-01-01,1.50718036138542
1968-04-01,1.68640715532861
1968-07-01,1.70293522371929
1968-10-01,1.65196150485603
1969-01-01,1.72359990987021
1969-04-01,2.0167932690629
1969-07-01,2.09494673388396
1969-10-01,1.97829178738235
1970-01-01,1.86935572709299
1970-04-01,1.74532909565764
1970-07-01,1.39184602375175
1970-10-01,1.17618297950267
1971-01-01,0.9670962891894
1971-04-01,1.06747694247609
1971-07-01,1.26558874983455
1971-10-01,1.21097026234459
1972-01-01,0.964547199237087
1972-04-01,1.11130246287338
1972-07-01,1.19433194952126
1972-10-01,1.31077072422578
1973-01-01,1.61429048082361
1973-04-01,1.87077833284028
1973-07-01,2.30684857888069
1973-10-01,2.29935597940451
1974-01-01,2.13128157509492
1974-04-01,2.38048930527258
1974-07-01,2.47516191629839
1974-10-01,1.79919041616062
1975-01-01,1.09182591369301
1975-04-01,0.848339467022886
1975-07-01,0.983517194920933
1975-10-01,0.825516817502502
1976-01-01,0.781655214707876
1976-04-01,0.937682739767805
1976-07-01,0.983262601027328
1976-10-01,1.02572118908878
1977-01-01,0.987835981843704
1977-04-01,1.11434994396638
1977-07-01,1.28423317914715
1977-10-01,1.41571065069427
1978-01-01,1.40154444759684
1978-04-01,1.44177614498959
1978-07-01,1.58168193683632
1978-10-01,1.86435489972681
1979-01-01,1.84518245222921
1979-04-01,1.82251932071114
1979-07-01,1.96817947686255
1979-10-01,2.21444281294969
1980-01-01,2.22475286375557
1980-04-01,1.70939377055305
1980-07-01,1.21281040817284
1980-10-01,2.10446398610124
1981-01-01,2.08922400544171
1981-04-01,2.21940164091582
1981-07-01,2.07415813595053
1981-10-01,1.22449455128915
1982-01-01,1.3521623313851
1982-04-01,1.40053241864661
1982-07-01,0.801015648881964
1982-10-01,0.901148687357627
1983-01-01,0.859558818939808
1983-04-01,0.95538034129901
1983-07-01,1.04156933518514
1983-10-01,1.01488573207524
1984-01-01,1.0362219317802
1984-04-01,0.990138265224801
1984-07-01,1.1646681016615
1984-10-01,0.999687617959735
1985-01-01,0.875101866936363
1985-04-01,0.81345114328846
1985-07-01,0.927046623886057
1985-10-01,1.06679229882442
1986-01-01,1.23706614528265
1986-04-01,1.25713680477228
1986-07-01,1.15829407074867
1986-10-01,1.15829684946672
1987-01-01,1.23012832308274
1987-04-01,1.15077139433146
1987-07-01,1.04734425558238
1987-10-01,1.2536327797629
1988-01-01,1.16702209473729
1988-04-01,1.17494765384611
1988-07-01,1.30671688966449
1988-10-01,1.46976250714631
1989-01-01,1.63377630563098
1989-04-01,1.76271391537186
1989-07-01,1.72019527307186
1989-10-01,1.69344740739358
1990-01-01,1.54796843740896
1990-04-01,1.48933437510106
1990-07-01,1.50652777567695
1990-10-01,1.37506585355949
1991-01-01,1.16826306534198
1991-04-01,1.09675797952093
1991-07-01,1.06748405205438
1991-10-01,0.989790199224419
1992-01-01,0.85154300570491
1992-04-01,0.815513135942521
1992-07-01,0.829290341108516
1992-10-01,0.746542390137406
1993-01-01,0.863667288990954
1993-04-01,0.904809110752153
1993-07-01,1.00100276999281
1993-10-01,0.999500882705402
1994-01-01,0.993344742091767
1994-04-01,0.979272535057342
1994-07-01,1.02412215323167
1994-10-01,1.09953274711924
1995-01-01,1.27286284264134
1995-04-01,1.46594314343228
1995-07-01,1.44452541114469
1995-10-01,1.51158636337545
1996-01-01,1.45883738684796
1996-04-01,1.28230598443667
1996-07-01,1.31122682089461
1996-10-01,1.3723601691993
1997-01-01,1.36380822645186
1997-04-01,1.37844514431941
1997-07-01,1.47341743414016
1997-10-01,1.58919711313788
1998-01-01,1.56448966485271
1998-04-01,1.57808012628161
1998-07-01,1.73643619959976
1998-10-01,1.52900653254517
1999-01-01,1.4668654827655
1999-04-01,1.38288254738732
1999-07-01,1.36648046057476
1999-10-01,1.38651615735708
2000-01-01,1.49021931001419
2000-04-01,1.58986843827569
2000-07-01,1.64857848715654
2000-10-01,1.75287430681418
2001-01-01,1.66344764453234
2001-04-01,1.33099455179292
2001-07-01,1.21714378761339
2001-10-01,0.89181592579937
2002-01-01,0.731730649785617
2002-04-01,0.762888290222576
2002-07-01,0.974915229212778
2002-10-01,0.892779430352301
2003-01-01,0.925064882224304
2003-04-01,0.952844004729197
2003-07-01,0.773876935111467
2003-10-01,0.770885052832768
2004-01-01,0.863689635197762
2004-04-01,0.789273956171187
2004-07-01,0.929257375176532
2004-10-01,1.09452406462363
2005-01-01,1.22987033671526
2005-04-01,1.32757667052283
2005-07-01,1.40421006915655
2005-10-01,1.45630400135327
2006-01-01,1.54443509148873
2006-04-01,1.56864445359572
2006-07-01,1.64548261808889
2006-10-01,1.68966168912992
2007-01-01,1.71436633772645
2007-04-01,1.64845749340289
2007-07-01,1.65361363825253
2007-10-01,1.58091153130582
2008-01-01,1.3318591976165
2008-04-01,1.03609305664578
