identification,variable,weight
fevdfd_vfci_f12,output,0.66879215740025
fevdfd_vfci_f12,investment,-0.0443428636234593
fevdfd_vfci_f12,consumption,-0.01358037084673
fevdfd_vfci_f12,hours_worked,0.274875147231717
fevdfd_vfci_f12,unemployment,0.582574582002947
fevdfd_vfci_f12,labor_share,0.169351967439717
fevdfd_vfci_f12,interest,1.79043839492181
fevdfd_vfci_f12,inflation,0.219274015846988
fevdfd_vfci_f12,productivity,0.104989959060516
fevdfd_vfci_f12,TFP,-0.343444581058718
fevdfd_vfci_f12,vfci,3.6160565596185
fevdfd_vfci_f1,output,0.476690310252408
fevdfd_vfci_f1,investment,-0.0213535477398198
fevdfd_vfci_f1,consumption,-0.259143711918848
fevdfd_vfci_f1,hours_worked,-0.226445753034576
fevdfd_vfci_f1,unemployment,-0.0797002648720582
fevdfd_vfci_f1,labor_share,0.0480902976360419
fevdfd_vfci_f1,interest,-0.67765891893241
fevdfd_vfci_f1,inflation,0.249130328286332
fevdfd_vfci_f1,productivity,-0.275781067696262
fevdfd_vfci_f1,TFP,0.129992378556675
fevdfd_vfci_f1,vfci,-4.43419836792758
fevdfd_unem,output,0.0756718468335889
fevdfd_unem,investment,0.132815267373592
fevdfd_unem,consumption,0.438585341048248
fevdfd_unem,hours_worked,0.447810007429236
fevdfd_unem,unemployment,0.0863313873977674
fevdfd_unem,labor_share,0.0851193870659319
fevdfd_unem,interest,0.700054714028768
fevdfd_unem,inflation,0.26321639077142
fevdfd_unem,productivity,-0.0128154725708645
fevdfd_unem,TFP,-0.116900664738622
