h,impulse,response,mean,median,lower,upper,version,model
1,Main,output,-0.647733897166967,-0.64998158849607,-0.697262582898403,-0.596225514382105,replication,bayesian_fd
1,Main,investment,-2.33931250472596,-2.34782735759747,-2.51682466150166,-2.15195966842527,replication,bayesian_fd
1,Main,consumption,-0.123281244688623,-0.122765723622862,-0.160588638013643,-0.0878166814199578,replication,bayesian_fd
1,Main,hours_worked,-0.447159844195052,-0.450040154809711,-0.49470165776973,-0.398722929071732,replication,bayesian_fd
1,Main,unemployment,0.249404941802977,0.250088533731359,0.231098435472855,0.267800382952761,replication,bayesian_fd
1,Main,labor_share,0.363022141413041,0.364662684663731,0.277570404292928,0.450686123871335,replication,bayesian_fd
1,Main,interest,-0.0638738082287183,-0.0643469016820995,-0.088507441418064,-0.0401298696022656,replication,bayesian_fd
1,Main,inflation,0.0167496080915151,0.0177928699718271,-0.0121486702726698,0.0447595996197412,replication,bayesian_fd
1,Main,productivity,-0.373186019764209,-0.37255404431794,-0.436828368756719,-0.314250983449241,replication,bayesian_fd
1,Main,TFP,0.069565502547492,0.0698889443804248,0.00197034237623521,0.13871173593891,replication,bayesian_fd
2,Main,output,-0.660140907249563,-0.662208224286471,-0.726597143310486,-0.593902827790967,replication,bayesian_fd
2,Main,investment,-2.38425773243017,-2.38062422731455,-2.61494534785927,-2.15705949509348,replication,bayesian_fd
2,Main,consumption,-0.178010665329214,-0.175280742471378,-0.219650902208784,-0.140919275407979,replication,bayesian_fd
2,Main,hours_worked,-0.474530482795332,-0.472918870888661,-0.522567298521744,-0.426647731948299,replication,bayesian_fd
2,Main,unemployment,0.325917139246017,0.326075263566419,0.307836196848987,0.344295350244674,replication,bayesian_fd
2,Main,labor_share,0.211013269401022,0.21252173042933,0.138746132460946,0.280345129459472,replication,bayesian_fd
2,Main,interest,-0.0849863073116655,-0.0860306824317568,-0.108238911614997,-0.0601234542971174,replication,bayesian_fd
2,Main,inflation,-0.00274167158141082,-0.00261883594636472,-0.0223609913280562,0.0150350936483192,replication,bayesian_fd
