h,impulse,response,median,lower,upper,model,irf,version,mean
1,unemployment,output,-0.645943740010815,-0.698570766389656,-0.589444734359869,classical_fd,,Original BCA,
2,unemployment,output,-0.660194674317296,-0.728798786848455,-0.589440147231853,classical_fd,,Original BCA,
3,unemployment,output,-0.642228372390584,-0.73614787601801,-0.552504794700057,classical_fd,,Original BCA,
4,unemployment,output,-0.602277947047494,-0.713737049698271,-0.49904275535509,classical_fd,,Original BCA,
5,unemployment,output,-0.555031226620288,-0.680862103516747,-0.439772675760325,classical_fd,,Original BCA,
6,unemployment,output,-0.503716614747686,-0.639357856423388,-0.37319440923415,classical_fd,,Original BCA,
7,unemployment,output,-0.447915943665694,-0.594442088380913,-0.308921599581365,classical_fd,,Original BCA,
8,unemployment,output,-0.390170346266921,-0.545804788835629,-0.243254768631909,classical_fd,,Original BCA,
9,unemployment,output,-0.335373430287269,-0.498760650468169,-0.179169571851456,classical_fd,,Original BCA,
10,unemployment,output,-0.278775349506455,-0.453617002653292,-0.121392765964404,classical_fd,,Original BCA,
11,unemployment,output,-0.228162629231384,-0.411974504811833,-0.0622421957874676,classical_fd,,Original BCA,
12,unemployment,output,-0.186480842643153,-0.368024684470618,-0.014440199519535,classical_fd,,Original BCA,
13,unemployment,output,-0.146077708714401,-0.328212669837347,0.0303226948272361,classical_fd,,Original BCA,
14,unemployment,output,-0.11577692706736,-0.301105114593789,0.0614716877130193,classical_fd,,Original BCA,
15,unemployment,output,-0.0904027518583681,-0.273506451629812,0.0966536215315491,classical_fd,,Original BCA,
16,unemployment,output,-0.0692302184204585,-0.251201493131263,0.121488100399274,classical_fd,,Original BCA,
17,unemployment,output,-0.0508328271315462,-0.230750258245573,0.143071015600611,classical_fd,,Original BCA,
18,unemployment,output,-0.0381122681332401,-0.217751905382388,0.154503140768612,classical_fd,,Original BCA,
19,unemployment,output,-0.0280516768462443,-0.213003616148926,0.164655019300454,classical_fd,,Original BCA,
20,unemployment,output,-0.0246292549475905,-0.208055662502907,0.170557170883475,classical_fd,,Original BCA,
21,unemployment,output,-0.0195883466765836,-0.206949337906155,0.171449898944723,classical_fd,,Original BCA,
22,unemployment,output,-0.0218421370778056,-0.204041664107204,0.168526605964801,classical_fd,,Original BCA,
23,unemployment,output,-0.0258547242147723,-0.20521990701756,0.159606885359724,classical_fd,,Original BCA,
24,unemployment,output,-0.0274142785889907,-0.20965124977689,0.149735980505668,classical_fd,,Original BCA,
25,unemployment,output,-0.0327262653312105,-0.214295453227124,0.142361464258424,classical_fd,,Original BCA,
26,unemployment,output,-0.0394562071498796,-0.219305095156401,0.131038350531945,classical_fd,,Original BCA,
27,unemployment,output,-0.0475487735642686,-0.226773204964666,0.121118903701731,classical_fd,,Original BCA,
28,unemployment,output,-0.0575190467062128,-0.235540422917493,0.108820167268721,classical_fd,,Original BCA,
29,unemployment,output,-0.0657695633599585,-0.241027690512465,0.097651961540022,classical_fd,,Original BCA,
30,unemployment,output,-0.074364804217542,-0.249180179983064,0.0895116286429528,classical_fd,,Original BCA,
31,unemployment,output,-0.0821220996638201,-0.254198529108962,0.0780389856803572,classical_fd,,Original BCA,
32,unemployment,output,-0.0896035184289277,-0.262090274756633,0.0666410681393361,classical_fd,,Original BCA,
33,unemployment,output,-0.0941235090016085,-0.266971331176279,0.0570483385446124,classical_fd,,Original BCA,
34,unemployment,output,-0.101040215377037,-0.270720205132471,0.0468925434580379,classical_fd,,Original BCA,
35,unemployment,output,-0.106612401127438,-0.272580390725106,0.0420455264280701,classical_fd,,Original BCA,
36,unemployment,output,-0.110989030488748,-0.275506025081384,0.0387452284045619,classical_fd,,Original BCA,
37,unemployment,output,-0.11422289764768,-0.278616235934305,0.0351070430916168,classical_fd,,Original BCA,
38,unemployment,output,-0.118149712301762,-0.280842725444187,0.0301383061799874,classical_fd,,Original BCA,
39,unemployment,output,-0.120473331129985,-0.283160102845421,0.0267307884808591,classical_fd,,Original BCA,
40,unemployment,output,-0.121760653737154,-0.288343225586911,0.0261705474747396,classical_fd,,Original BCA,
1,unemployment,investment,-2.3386954450789,-2.51370732663148,-2.14045062291856,classical_fd,,Original BCA,
