h,impulse,response,irf,model,version
12,Main,hours_worked,0.120496363653889,classical_fd,Replication
12,Main,unemployment,-0.00665565354494163,classical_fd,Replication
12,Main,labor_share,-0.132162208807337,classical_fd,Replication
12,Main,interest,0.00335457618618449,classical_fd,Replication
12,Main,inflation,0.0169511794880571,classical_fd,Replication
12,Main,productivity,0.056239896239435,classical_fd,Replication
12,Main,TFP,-0.0464035203075776,classical_fd,Replication
13,Main,output,0.0505145346580679,classical_fd,Replication
13,Main,investment,0.620105476669166,classical_fd,Replication
13,Main,consumption,-0.0486793034163708,classical_fd,Replication
13,Main,hours_worked,0.130385897178804,classical_fd,Replication
13,Main,unemployment,-0.0188180752223111,classical_fd,Replication
13,Main,labor_share,-0.10192747774469,classical_fd,Replication
13,Main,interest,0.0105038622621116,classical_fd,Replication
13,Main,inflation,0.0199345759503432,classical_fd,Replication
13,Main,productivity,0.0167150460715618,classical_fd,Replication
13,Main,TFP,-0.0440581959313432,classical_fd,Replication
14,Main,output,0.0392166932306073,classical_fd,Replication
14,Main,investment,0.550800062309167,classical_fd,Replication
14,Main,consumption,-0.0469940133816508,classical_fd,Replication
14,Main,hours_worked,0.130628109179205,classical_fd,Replication
14,Main,unemployment,-0.0242434714140329,classical_fd,Replication
14,Main,labor_share,-0.0739990734363181,classical_fd,Replication
14,Main,interest,0.0155955259516823,classical_fd,Replication
14,Main,inflation,0.0215839095272117,classical_fd,Replication
14,Main,productivity,-0.0182615449722536,classical_fd,Replication
14,Main,TFP,-0.039746852412698,classical_fd,Replication
15,Main,output,0.0229257597947437,classical_fd,Replication
15,Main,investment,0.465137177445586,classical_fd,Replication
15,Main,consumption,-0.0491272770084494,classical_fd,Replication
15,Main,hours_worked,0.124448783977111,classical_fd,Replication
15,Main,unemployment,-0.0247663202012909,classical_fd,Replication
15,Main,labor_share,-0.0496027882380059,classical_fd,Replication
15,Main,interest,0.0190244426451746,classical_fd,Replication
15,Main,inflation,0.02214826161456,classical_fd,Replication
15,Main,productivity,-0.0480207975652519,classical_fd,Replication
15,Main,TFP,-0.0351163059106872,classical_fd,Replication
16,Main,output,0.00431673526739652,classical_fd,Replication
16,Main,investment,0.374156572285084,classical_fd,Replication
16,Main,consumption,-0.0538945355744794,classical_fd,Replication
16,Main,hours_worked,0.114444701678804,classical_fd,Replication
16,Main,unemployment,-0.0219822509460078,classical_fd,Replication
16,Main,labor_share,-0.0292680192696685,classical_fd,Replication
16,Main,interest,0.0211569241677514,classical_fd,Replication
16,Main,inflation,0.02188622991303,classical_fd,Replication
16,Main,productivity,-0.0725561920622184,classical_fd,Replication
16,Main,TFP,-0.0312721795696917,classical_fd,Replication
17,Main,output,-0.0147130313696659,classical_fd,Replication
17,Main,investment,0.285381895184727,classical_fd,Replication
17,Main,consumption,-0.0603091126926501,classical_fd,Replication
17,Main,hours_worked,0.102567286035839,classical_fd,Replication
17,Main,unemployment,-0.0171819381033903,classical_fd,Replication
17,Main,labor_share,-0.0130241114135058,classical_fd,Replication
17,Main,interest,0.0223092072835515,classical_fd,Replication
17,Main,inflation,0.0210348120228862,classical_fd,Replication
17,Main,productivity,-0.0922778305646023,classical_fd,Replication
17,Main,TFP,-0.0288457420813378,classical_fd,Replication
18,Main,output,-0.0329260480032203,classical_fd,Replication
18,Main,investment,0.203446303037905,classical_fd,Replication
18,Main,consumption,-0.0675977950424245,classical_fd,Replication
18,Main,hours_worked,0.0901881823682488,classical_fd,Replication
18,Main,unemployment,-0.0113464725387399,classical_fd,Replication
18,Main,labor_share,-0.000579264352808721,classical_fd,Replication
18,Main,interest,0.0227404378179615,classical_fd,Replication
18,Main,inflation,0.0197946539222954,classical_fd,Replication
18,Main,productivity,-0.107815574324884,classical_fd,Replication
18,Main,TFP,-0.0280931419783057,classical_fd,Replication
19,Main,output,-0.0496008856646041,classical_fd,Replication
19,Main,investment,0.130787111682636,classical_fd,Replication
19,Main,consumption,-0.0751874027301245,classical_fd,Replication
19,Main,hours_worked,0.078202877750403,classical_fd,Replication
19,Main,unemployment,-0.00517839605076208,classical_fd,Replication
19,Main,labor_share,0.00853759825195707,classical_fd,Replication
19,Main,interest,0.0226545173574636,classical_fd,Replication
19,Main,inflation,0.018324472075338,classical_fd,Replication
19,Main,productivity,-0.119876751606303,classical_fd,Replication
19,Main,TFP,-0.0290024904101499,classical_fd,Replication
20,Main,output,-0.0643906072485813,classical_fd,Replication
20,Main,investment,0.0682960271946597,classical_fd,Replication
20,Main,consumption,-0.0826759960185933,classical_fd,Replication
20,Main,hours_worked,0.0671436256556776,classical_fd,Replication
20,Main,unemployment,0.000850157307940017,classical_fd,Replication
20,Main,labor_share,0.0148710748671396,classical_fd,Replication
20,Main,interest,0.0222068515235313,classical_fd,Replication
20,Main,inflation,0.0167426973917314,classical_fd,Replication
20,Main,productivity,-0.129152061661779,classical_fd,Replication
20,Main,TFP,-0.0313911719155444,classical_fd,Replication
21,Main,output,-0.0771998035817295,classical_fd,Replication
21,Main,investment,0.0158650820312047,classical_fd,Replication
21,Main,consumption,-0.08979842060494,classical_fd,Replication
21,Main,hours_worked,0.0572837527752208,classical_fd,Replication
21,Main,unemployment,0.00644526799901421,classical_fd,Replication
21,Main,labor_share,0.0189680057669899,classical_fd,Replication
21,Main,interest,0.0215130362494758,classical_fd,Replication
21,Main,inflation,0.0151326887591687,classical_fd,Replication
21,Main,productivity,-0.136261172970174,classical_fd,Replication
21,Main,TFP,-0.0349855555472726,classical_fd,Replication
22,Main,output,-0.0880869846892582,classical_fd,Replication
22,Main,investment,-0.027192255401175,classical_fd,Replication
22,Main,consumption,-0.0963925592186932,classical_fd,Replication
22,Main,hours_worked,0.0487245069298273,classical_fd,Replication
22,Main,unemployment,0.0114427959463045,classical_fd,Replication
22,Main,labor_share,0.0213339487399473,classical_fd,Replication
22,Main,interest,0.0206576419402898,classical_fd,Replication
22,Main,inflation,0.0135496449310776,classical_fd,Replication
22,Main,productivity,-0.14172764903306,classical_fd,Replication
22,Main,TFP,-0.0394802997527843,classical_fd,Replication
23,Main,output,-0.0971930935971779,classical_fd,Replication
23,Main,investment,-0.0618409896842477,classical_fd,Replication
23,Main,consumption,-0.102369841736379,classical_fd,Replication
23,Main,hours_worked,0.0414615810082187,classical_fd,Replication
23,Main,unemployment,0.0157677418535429,classical_fd,Replication
23,Main,labor_share,0.0224108902057485,classical_fd,Replication
23,Main,interest,0.0197020277949881,classical_fd,Replication
23,Main,inflation,0.0120275846234859,classical_fd,Replication
23,Main,productivity,-0.14597387819915,classical_fd,Replication
23,Main,TFP,-0.0445784304907082,classical_fd,Replication
24,Main,output,-0.104693245681971,classical_fd,Replication
24,Main,investment,-0.0891281381668284,classical_fd,Replication
24,Main,consumption,-0.107691535993756,classical_fd,Replication
24,Main,hours_worked,0.0354323299583987,classical_fd,Replication
24,Main,unemployment,0.0194026936498373,classical_fd,Replication
24,Main,labor_share,0.0225695953504506,classical_fd,Replication
24,Main,interest,0.0186907260940833,classical_fd,Replication
24,Main,inflation,0.0105855876806629,classical_fd,Replication
24,Main,productivity,-0.149328101092126,classical_fd,Replication
24,Main,TFP,-0.0500151826514497,classical_fd,Replication
25,Main,output,-0.110767162446731,classical_fd,Replication
25,Main,investment,-0.110067171615544,classical_fd,Replication
25,Main,consumption,-0.112350969228169,classical_fd,Replication
25,Main,hours_worked,0.0305466941032868,classical_fd,Replication
25,Main,unemployment,0.0223649672387446,classical_fd,Replication
25,Main,labor_share,0.0221112445786554,classical_fd,Replication
25,Main,interest,0.0176563157969671,classical_fd,Replication
25,Main,inflation,0.00923285585250697,classical_fd,Replication
25,Main,productivity,-0.152037598287788,classical_fd,Replication
25,Main,TFP,-0.0555694104342462,classical_fd,Replication
26,Main,output,-0.115583389388549,classical_fd,Replication
26,Main,investment,-0.125580462417927,classical_fd,Replication
26,Main,consumption,-0.116361036520712,classical_fd,Replication
26,Main,hours_worked,0.0267056021961459,classical_fd,Replication
26,Main,unemployment,0.0246911329157756,classical_fd,Replication
26,Main,labor_share,0.0212741672188769,classical_fd,Replication
26,Main,interest,0.0166229345747476,classical_fd,Replication
