fevd,h,impulse,response
43.603731799451,1,Main,output
58.7333990950708,2,Main,output
62.3567120372174,3,Main,output
60.7675181636784,4,Main,output
56.3879432378889,5,Main,output
50.7621136786291,6,Main,output
44.9954286319726,7,Main,output
39.7367535940201,8,Main,output
35.2636442772134,9,Main,output
31.6171725399891,10,Main,output
28.7160960649365,11,Main,output
26.4344073305768,12,Main,output
24.6426557236774,13,Main,output
23.2266805319158,14,Main,output
22.0938566882182,15,Main,output
21.173286118308,16,Main,output
20.4133005457834,17,Main,output
19.7779213058422,18,Main,output
19.243079717733,19,Main,output
18.7930345009855,20,Main,output
18.4172607479701,21,Main,output
18.1079836366008,22,Main,output
17.8584334538831,23,Main,output
17.6618013551536,24,Main,output
17.5107931294387,25,Main,output
17.3976266637746,26,Main,output
17.3143033775142,27,Main,output
17.252999460446,28,Main,output
17.2064578028483,29,Main,output
17.1683036154272,30,Main,output
17.1332461910832,31,Main,output
17.0971604080948,32,Main,output
17.0570624517542,33,Main,output
17.0110054242546,34,Main,output
16.9579239620179,35,Main,output
16.8974550689588,36,Main,output
16.8297573586428,37,Main,output
16.7553446159535,38,Main,output
16.6749433612925,39,Main,output
16.5893787477765,40,Main,output
32.6937370406232,1,Main,investment
54.219782155432,2,Main,investment
62.06479106019,3,Main,investment
61.4478206030435,4,Main,investment
56.6750539754815,5,Main,investment
50.1750658840118,6,Main,investment
43.6512618340598,7,Main,investment
38.0416931191732,8,Main,investment
33.6618947662361,9,Main,investment
30.4551025222141,10,Main,investment
28.2080276636887,11,Main,investment
26.6785427691365,12,Main,investment
25.6516594051989,13,Main,investment
24.9568369491164,14,Main,investment
24.4683804724273,15,Main,investment
24.0998072251539,16,Main,investment
23.7965348037371,17,Main,investment
23.5283636711774,18,Main,investment
23.2822867025966,19,Main,investment
23.0559988911846,20,Main,investment
22.852484000496,21,Main,investment
22.6759730780517,22,Main,investment
22.5293781569761,23,Main,investment
22.413079992341,24,Main,investment
22.3247759926208,25,Main,investment
22.2600168800545,26,Main,investment
22.213074264708,27,Main,investment
22.1778548120952,28,Main,investment
22.1486736116241,29,Main,investment
