variable,weight
output,-0.587852845973384
investment,-0.150635169321907
consumption,-0.259356477808163
hours_worked,-0.0241984297214499
unemployment,0.42338683684158
labor_share,0.144807239228313
interest,0.476250234898792
inflation,-0.0289060466004702
productivity,0.231240318056649
TFP,-0.150559444328055
vfci,0.244685724504175
