fevd,h,impulse,response
12.8075915933164,9,Main,consumption
11.2525488055906,10,Main,consumption
10.0288812309476,11,Main,consumption
9.06433527744102,12,Main,consumption
8.29369827095671,13,Main,consumption
7.66427992520772,14,Main,consumption
7.13683281788753,15,Main,consumption
6.68416827167283,16,Main,consumption
6.28881199508179,17,Main,consumption
5.94044544770961,18,Main,consumption
5.63352857553374,19,Main,consumption
5.36530217419346,20,Main,consumption
5.13425304400738,21,Main,consumption
4.93905143833348,22,Main,consumption
4.77791980645912,23,Main,consumption
4.64835856955824,24,Main,consumption
4.54713735258488,25,Main,consumption
4.47045752865977,26,Main,consumption
4.41420134245607,27,Main,consumption
4.37420011410847,28,Main,consumption
4.34647456468207,29,Main,consumption
4.3274202706344,30,Main,consumption
4.31392801286026,31,Main,consumption
4.30344106169417,32,Main,consumption
4.29395909182557,33,Main,consumption
4.28400206019181,34,Main,consumption
4.27254798245114,35,Main,consumption
4.2589571551707,36,Main,consumption
4.24289291717148,37,Main,consumption
4.22424624012488,38,Main,consumption
4.20306877138593,39,Main,consumption
4.17951670078975,40,Main,consumption
56.2130089828399,1,Main,hours_worked
68.0807843028161,2,Main,hours_worked
69.1832201604468,3,Main,hours_worked
64.7795452573888,4,Main,hours_worked
57.8420514610067,5,Main,hours_worked
50.2536641174809,6,Main,hours_worked
43.3216817781134,7,Main,hours_worked
37.7641272685616,8,Main,hours_worked
33.7482338938364,9,Main,hours_worked
31.0946599740536,10,Main,hours_worked
29.4844570555479,11,Main,hours_worked
28.5932943313897,12,Main,hours_worked
28.1508845381655,13,Main,hours_worked
27.9551794990641,14,Main,hours_worked
27.8668191187368,15,Main,hours_worked
27.7975620283802,16,Main,hours_worked
27.6983386240384,17,Main,hours_worked
27.5485273782183,18,Main,hours_worked
27.3466607254873,19,Main,hours_worked
27.1025321527745,20,Main,hours_worked
26.8307962872862,21,Main,hours_worked
26.5462273181976,22,Main,hours_worked
26.2607177097861,23,Main,hours_worked
25.9819038236979,24,Main,hours_worked
25.7131024308307,25,Main,hours_worked
25.4541182922772,26,Main,hours_worked
25.2024694891623,27,Main,hours_worked
24.9546546196681,28,Main,hours_worked
24.7072101945551,29,Main,hours_worked
24.4574345452196,30,Main,hours_worked
24.2037584363996,31,Main,hours_worked
23.9458113870446,32,Main,hours_worked
23.6842675866864,33,Main,hours_worked
23.4205634857284,34,Main,hours_worked
23.1565695256258,35,Main,hours_worked
22.8942791943892,36,Main,hours_worked
22.6355560715725,37,Main,hours_worked
22.3819582893965,38,Main,hours_worked
22.1346426293559,39,Main,hours_worked
21.8943385225634,40,Main,hours_worked
77.3069361081757,1,Main,unemployment
86.3207586095696,2,Main,unemployment
84.2771976490438,3,Main,unemployment
78.1722892916272,4,Main,unemployment
69.9807350070411,5,Main,unemployment
61.1331153332654,6,Main,unemployment
52.7185592796138,7,Main,unemployment
45.4714106721617,8,Main,unemployment
39.7125033772109,9,Main,unemployment
35.42547778705,10,Main,unemployment
32.399659852457,11,Main,unemployment
30.35496300303,12,Main,unemployment
29.0185197668673,13,Main,unemployment
28.1595909208355,14,Main,unemployment
27.5992631079266,15,Main,unemployment
27.2081159718186,16,Main,unemployment
26.8993345848221,17,Main,unemployment
26.6206295606708,18,Main,unemployment
26.3461698963519,19,Main,unemployment
26.0689102101516,20,Main,unemployment
25.7935516203545,21,Main,unemployment
25.5304540641057,22,Main,unemployment
25.2908510181568,23,Main,unemployment
25.0836080350696,24,Main,unemployment
24.9135449240987,25,Main,unemployment
24.7811027001502,26,Main,unemployment
24.6829706785099,27,Main,unemployment
24.6132377599309,28,Main,unemployment
24.564682982016,29,Main,unemployment
24.5299308262361,30,Main,unemployment
24.5023203778919,31,Main,unemployment
24.4764421934458,32,Main,unemployment
24.4483687289483,33,Main,unemployment
24.4156432692921,34,Main,unemployment
24.3771054186615,35,Main,unemployment
24.3326271732446,36,Main,unemployment
24.2828201918826,37,Main,unemployment
24.2287578938496,38,Main,unemployment
24.1717392416065,39,Main,unemployment
24.1131067069929,40,Main,unemployment
1.58658007027495,1,Main,labor_share
1.67100629121669,2,Main,labor_share
