f,fevdfd,impulse,response
0,0.0011927881252229,Main,output
0.00628947478196155,0.00269100787848195,Main,output
0.0125789495639231,0.00694448508601847,Main,output
0.0188684243458846,0.0131520730652731,Main,output
0.0251578991278462,0.0200458831304483,Main,output
0.0314473739098077,0.026394128104019,Main,output
0.0377368486917693,0.0314734888539636,Main,output
0.0440263234737308,0.0351262382260915,Main,output
0.0503157982556924,0.0375375490245627,Main,output
0.0566052730376539,0.0390054688621187,Main,output
0.0628947478196155,0.0398128319342223,Main,output
0.069184222601577,0.0401847358542827,Main,output
0.0754736973835386,0.0402885787867979,Main,output
0.0817631721655001,0.0402471955298514,Main,output
0.0880526469474617,0.0401515986314189,Main,output
0.0943421217294232,0.0400693917570984,Main,output
0.100631596511385,0.0400492561633195,Main,output
0.106921071293346,0.0401232606257479,Main,output
0.113210546075308,0.040308611749192,Main,output
0.119500020857269,0.0406097577394535,Main,output
0.125789495639231,0.0410210431286087,Main,output
0.132078970421192,0.0415296618784307,Main,output
0.138368445203154,0.0421185152792096,Main,output
0.144657919985116,0.0427686531481984,Main,output
0.150947394767077,0.0434611331156144,Main,output
0.157236869549039,0.0441782794589811,Main,output
0.163526344331,0.0449044186103485,Main,output
0.169815819112962,0.0456262104025643,Main,output
0.176105293894923,0.0463326974176681,Main,output
0.182394768676885,0.0470151772357297,Main,output
0.188684243458846,0.0476669775093333,Main,output
0.194973718240808,0.0482831895888813,Main,output
0.20126319302277,0.0488603964702444,Main,output
0.207552667804731,0.049396415985739,Main,output
0.213842142586693,0.0498900699209966,Main,output
0.220131617368654,0.0503409831404099,Main,output
0.226421092150616,0.0507494128389444,Main,output
0.232710566932577,0.0511161058637238,Main,output
0.239000041714539,0.0514421810260973,Main,output
0.2452895164965,0.0517290330030503,Main,output
0.251578991278462,0.0519782545038296,Main,output
0.257868466060423,0.0521915736600943,Main,output
0.264157940842385,0.052370803967299,Main,output
0.270447415624347,0.0525178044923662,Main,output
0.276736890406308,0.052634448430674,Main,output
0.28302636518827,0.0527225984259733,Main,output
0.289315839970231,0.0527840873535947,Main,output
0.295605314752193,0.0528207035101224,Main,output
0.301894789534154,0.0528341793548355,Main,output
0.308184264316116,0.0528261831143644,Main,output
0.314473739098077,0.0527983126972362,Main,output
0.320763213880039,0.0527520914742365,Main,output
0.327052688662,0.0526889655682229,Main,output
0.333342163443962,0.0526103023671066,Main,output
0.339631638225924,0.0525173900294742,Main,output
0.345921113007885,0.0524114377965545,Main,output
0.352210587789847,0.0522935769592227,Main,output
0.358500062571808,0.0521648623563937,Main,output
0.36478953735377,0.05202627430299,Main,output
0.371079012135731,0.0518787208629441,Main,output
0.377368486917693,0.05172304039639,Main,output
0.383657961699654,0.051560004321114,Main,output
0.389947436481616,0.0513903200370998,Main,output
0.396236911263577,0.0512146339701204,Main,output
0.402526386045539,0.0510335346961749,Main,output
0.408815860827501,0.0508475561134611,Main,output
0.415105335609462,0.0506571806327296,Main,output
0.421394810391424,0.0504628423604677,Main,output
0.427684285173385,0.05026493025254,Main,output
0.433973759955347,0.0500637912187618,Main,output
0.440263234737308,0.0498597331614713,Main,output
0.44655270951927,0.0496530279335505,Main,output
0.452842184301231,0.0494439142035415,Main,output
0.459131659083193,0.0492326002175606,Main,output
0.465421133865155,0.0490192664496074,Main,output
0.471710608647116,0.0488040681336423,Main,output
0.478000083429078,0.048587137672441,Main,output
0.484289558211039,0.0483685869197417,Main,output
0.490579032993001,0.0481485093335843,Main,output
0.496868507774962,0.0479269819999892,Main,output
0.503157982556924,0.0477040675272548,Main,output
0.509447457338885,0.0474798158121492,Main,output
0.515736932120847,0.0472542656801549,Main,output
0.522026406902809,0.0470274464026875,Main,output
0.52831588168477,0.0467993790948547,Main,output
