date,shock
1962-07-01,3.34264986995331
1962-10-01,4.39105403514272
1963-01-01,-0.394226650075609
1963-04-01,-0.0847137865020729
1963-07-01,0.960590778611483
1963-10-01,3.14958491449872
1964-01-01,-3.87199879935078
1964-04-01,1.88288235800602
1964-07-01,1.83626509374057
1964-10-01,4.39985928682346
1965-01-01,-8.56369156212491
1965-04-01,-0.119607567883377
1965-07-01,-1.86431803236824
1965-10-01,-1.97316068064323
1966-01-01,-4.01123095509341
1966-04-01,4.01256324564304
1966-07-01,2.25242910254444
1966-10-01,-1.04669143288731
1967-01-01,1.20347193917146
1967-04-01,1.3960788063832
1967-07-01,-0.815464811790544
1967-10-01,0.24602444118069
1968-01-01,-4.55541995677174
1968-04-01,-1.51864790499127
1968-07-01,1.86056910925822
1968-10-01,1.57582314431702
1969-01-01,-4.49587747322967
1969-04-01,1.93800331007825
1969-07-01,1.81743774731622
1969-10-01,3.89040811660005
1970-01-01,5.89208540312958
1970-04-01,-2.4544996795051
1970-07-01,-5.6881334537488
1970-10-01,9.21288112301536
1971-01-01,-11.7805785514991
1971-04-01,-1.45654454234548
1971-07-01,3.53053913195843
1971-10-01,4.06744862943988
1972-01-01,0.0343919320228131
1972-04-01,-2.03029160525368
1972-07-01,0.286266408990139
1972-10-01,-0.840689517062812
1973-01-01,-3.45923362852195
1973-04-01,0.24387179141241
1973-07-01,3.46022583499784
1973-10-01,-2.04677479474603
1974-01-01,1.46332886296705
1974-04-01,-3.9478652295081
1974-07-01,1.45376729315408
1974-10-01,0.375923431198529
1975-01-01,5.16888633072244
1975-04-01,-3.6115828346942
1975-07-01,-4.17346704793424
1975-10-01,3.56328544044037
1976-01-01,-3.59049167918504
1976-04-01,0.773627102023877
1976-07-01,0.536776023961988
1976-10-01,1.41698729417853
1977-01-01,-3.0345054814294
1977-04-01,-2.06852903874
1977-07-01,-0.268915050894447
1977-10-01,1.83754140944695
1978-01-01,3.98228137275709
1978-04-01,-5.4772340713812
1978-07-01,1.25006607801516
1978-10-01,-3.83732194511604
1979-01-01,-0.198531974396895
1979-04-01,0.0428230604034415
1979-07-01,-1.33449225423248
1979-10-01,3.30107464736849
1980-01-01,0.433995500401528
1980-04-01,8.72377517822635
1980-07-01,0.23582929716869
1980-10-01,-5.54000757767946
1981-01-01,-5.3083853523973
1981-04-01,0.550845598530737
1981-07-01,-7.13432149993257
1981-10-01,0.473204983376868
1982-01-01,4.99604134517677
1982-04-01,1.08376166513463
1982-07-01,1.56356501361411
1982-10-01,6.26607086003048
1983-01-01,-0.618297339257734
1983-04-01,-2.92170627081401
1983-07-01,-1.28902951964308
1983-10-01,-3.04797012397423
1984-01-01,-4.5461417553564
1984-04-01,-2.09112895030588
1984-07-01,1.28908914884533
1984-10-01,-0.95397031967259
1985-01-01,0.771309783636723
1985-04-01,0.225938507576482
1985-07-01,-0.0195493538678618
1985-10-01,1.37801687043597
1986-01-01,1.22463352906712
1986-04-01,-0.626110396171138
1986-07-01,-4.12399355950818
1986-10-01,0.874686085788752
1987-01-01,2.70857065803939
1987-04-01,0.883383996154974
1987-07-01,0.510947542653544
1987-10-01,-2.72464708810954
1988-01-01,-1.28877756737015
1988-04-01,-0.0470537822949016
1988-07-01,3.40611003351547
1988-10-01,-1.03392481359676
1989-01-01,-1.10390039183907
1989-04-01,0.433778598605581
1989-07-01,-1.99892888557255
1989-10-01,-0.323481456706505
1990-01-01,-3.93475834090954
1990-04-01,2.36327944043553
1990-07-01,3.719593337129
1990-10-01,5.49320100056578
1991-01-01,3.89524974720857
1991-04-01,-1.6121626110936
1991-07-01,0.991853127973484
1991-10-01,1.02669565559428
1992-01-01,0.659353424106854
1992-04-01,-1.73264161597269
1992-07-01,0.368520070993136
1992-10-01,0.619590207283954
1993-01-01,3.14031588155575
1993-04-01,2.51327836332275
1993-07-01,3.83039809130809
1993-10-01,0.00218598432901099
1994-01-01,-1.58357911216889
1994-04-01,-3.00370027116171
1994-07-01,5.96963795838729
1994-10-01,-1.11721046971917
1995-01-01,1.88636276569302
1995-04-01,2.80540471551568
1995-07-01,-0.571423597408467
1995-10-01,0.24942266392657
1996-01-01,0.112738867230646
1996-04-01,-3.36171643828481
1996-07-01,0.103931376184858
1996-10-01,1.76514478960848
1997-01-01,-0.310464505503947
1997-04-01,-2.12986489117085
1997-07-01,-2.02776788943536
1997-10-01,-1.04346741055765
1998-01-01,-1.83661362825986
1998-04-01,0.0625733391951543
1998-07-01,-1.19401847660902
1998-10-01,-6.74031962059052
1999-01-01,-2.48014659002554
1999-04-01,-2.03929307666721
1999-07-01,-1.86086716691082
1999-10-01,-1.94136005676082
2000-01-01,1.52522953317275
2000-04-01,-2.95843628880352
2000-07-01,-0.765227770346001
2000-10-01,-0.249906176926677
2001-01-01,2.79567571262117
2001-04-01,-0.376014540134796
2001-07-01,0.410737419711219
2001-10-01,-1.29989380881807
2002-01-01,-3.88895125065866
2002-04-01,0.117208619474341
2002-07-01,2.45815799458252
2002-10-01,0.832781178215799
2003-01-01,1.37568186592809
2003-04-01,1.49054328531578
2003-07-01,-2.53938812370351
2003-10-01,0.346477415569334
2004-01-01,4.40406555542437
2004-04-01,-0.427742142368473
2004-07-01,1.89472999109991
2004-10-01,1.72315800175986
2005-01-01,-0.840403240198133
2005-04-01,2.54023598693646
2005-07-01,1.44986586026083
2005-10-01,0.798802910474876
2006-01-01,-1.57534125849081
2006-04-01,3.47401339806397
2006-07-01,1.00430670397166
2006-10-01,0.241051685431316
2007-01-01,2.01174999717278
2007-04-01,-2.02261987425177
