date,anfci,cpiaucsl,cpilfesl,gdpc1,nfci,pcecc96,pcepi,pcepilfe,tedrate
1947-01-01,,,,2182.681,,1351.397,,,
1947-04-01,,1.41846349919566,,2176.892,,1373.88,,,
1947-07-01,,2.15738704328539,,2172.432,,1378.358,,,
1947-10-01,,2.79300001740105,,2206.452,,1378.796,,,
1948-01-01,,2.09660255497797,,2239.682,,1385.667,,,
1948-04-01,,1.57953294432696,,2276.69,,1401.789,,,
1948-07-01,,1.6698052782128,,2289.77,,1403.859,,,
1948-10-01,,-0.922386609644862,,2292.364,,1415.063,,,
1949-01-01,,-0.956030226198211,,2260.807,,1417.353,,,
1949-04-01,,-0.108650240525377,,2253.128,,1439.077,,,
1949-07-01,,-0.839741257397042,,2276.424,,1442.341,,,
1949-10-01,,-0.240623203251665,,2257.352,,1463.488,,,
1950-01-01,,-0.309014574850232,,2346.104,,1487.854,,,
1950-04-01,,0.760235109749104,,2417.682,,1512.357,,,
1950-07-01,,1.81785285222936,,2511.127,,1590.019,,,
1950-10-01,,2.00432102370937,,2559.214,,1542.087,,,
1951-01-01,,3.98544509113939,,2593.967,,1579.375,,,
1951-04-01,,0.968174242247391,,2638.898,,1534.744,,,
1951-07-01,,-0.0539707029291818,,2693.259,,1552.624,,,
1951-10-01,,1.46988292345911,,2699.156,,1561.67,,,
1952-01-01,,0.379262410841653,,2727.954,,1565.288,,,
1952-04-01,,0.264630428135471,,2733.8,,1595.941,,,
1952-07-01,,0.677279934009261,,2753.517,,1603.596,,,
1952-10-01,,0.112435361518715,,2843.941,,1660.168,,,
1953-01-01,,-0.288838657586923,,2896.811,,1679.665,,,
1953-04-01,,0.374953570147931,,2919.206,,1689.777,,,
1953-07-01,,0.459273066127616,,2902.785,,1685.752,,,
1953-10-01,,0.174939095105227,,2858.845,,1674.449,,,
1954-01-01,,0.234013813310137,,2845.192,,1680.625,,,
1954-04-01,,-0.159664367506029,,2848.305,,1702.449,,,
1954-07-01,,-0.260465263533338,,2880.482,,1725.489,,,
