date,gsfci
1983-01-01,105.419998168945
1983-04-01,105.300003051758
1983-07-01,105.459999084473
1983-10-01,106.330001831055
1984-01-01,106.680000305176
1984-04-01,107.669998168945
1984-07-01,107.470001220703
1984-10-01,106.910003662109
1985-01-01,106.709999084473
1985-04-01,106.019996643066
1985-07-01,106.019996643066
1985-10-01,104.769996643066
1986-01-01,103.580001831055
1986-04-01,103.199996948242
1986-07-01,103.660003662109
1986-10-01,103.319999694824
1987-01-01,102.319999694824
1987-04-01,102.400001525879
1987-07-01,102.519996643066
1987-10-01,102.980003356934
1988-01-01,102.410003662109
1988-04-01,102.440002441406
1988-07-01,102.339996337891
1988-10-01,102.110000610352
1989-01-01,102.129997253418
1989-04-01,101.809997558594
1989-07-01,101.5
1989-10-01,101.440002441406
1990-01-01,101.76000213623
1990-04-01,101.400001525879
1990-07-01,102.050003051758
1990-10-01,101.699996948242
1991-01-01,101.279998779297
1991-04-01,101.480003356934
1991-07-01,100.839996337891
1991-10-01,100.080001831055
1992-01-01,100.660003662109
1992-04-01,100.379997253418
1992-07-01,100.269996643066
1992-10-01,100.480003356934
1993-01-01,100.029998779297
1993-04-01,99.8600006103516
1993-07-01,99.6600036621094
1993-10-01,100.069999694824
1994-01-01,100.720001220703
1994-04-01,101
1994-07-01,100.900001525879
1994-10-01,101.319999694824
1995-01-01,100.599998474121
1995-04-01,99.8300018310547
1995-07-01,99.6800003051758
1995-10-01,99.5100021362305
1996-01-01,99.870002746582
1996-04-01,99.8899993896485
1996-07-01,99.8499984741211
1996-10-01,99.5599975585938
1997-01-01,99.9199981689453
1997-04-01,99.0599975585938
1997-07-01,99.0299987792969
1997-10-01,99.4000015258789
1998-01-01,98.9499969482422
1998-04-01,99.0699996948242
1998-07-01,99.4300003051758
1998-10-01,98.3000030517578
1999-01-01,98.5
1999-04-01,98.379997253418
1999-07-01,98.7399978637695
1999-10-01,98.2200012207031
2000-01-01,98.2799987792969
2000-04-01,98.7799987792969
2000-07-01,99.0699996948242
2000-10-01,99.4700012207031
2001-01-01,100.419998168945
2001-04-01,100.199996948242
2001-07-01,100.839996337891
2001-10-01,100.360000610352
2002-01-01,100.639999389648
2002-04-01,101.139999389648
2002-07-01,102.110000610352
2002-10-01,101.379997253418
2003-01-01,101.470001220703
2003-04-01,100.25
2003-07-01,100.300003051758
2003-10-01,99.6800003051758
2004-01-01,99.5699996948242
2004-04-01,100.029998779297
2004-07-01,99.9199981689453
2004-10-01,99.2600021362305
2005-01-01,99.6600036621094
2005-04-01,99.4300003051758
2005-07-01,99.5299987792969
2005-10-01,99.6699981689453
2006-01-01,99.7699966430664
2006-04-01,100.01000213623
2006-07-01,99.6699981689453
2006-10-01,99.4300003051758
2007-01-01,99.4899978637695
2007-04-01,99.3099975585938
2007-07-01,99.0400009155274
2007-10-01,99.1699981689453
2008-01-01,99.5699996948242
2008-04-01,99.7399978637695
2008-07-01,100.930000305176
2008-10-01,102.430000305176
2009-01-01,103.550003051758
2009-04-01,102.029998779297
2009-07-01,100.730003356934
2009-10-01,100.550003051758
2010-01-01,100.419998168945
2010-04-01,101.099998474121
2010-07-01,100.150001525879
2010-10-01,99.8499984741211
2011-01-01,99.5500030517578
2011-04-01,99.4899978637695
2011-07-01,100.48999786377
2011-10-01,100.01000213623
2012-01-01,99.5
2012-04-01,99.8300018310547
2012-07-01,99.4000015258789
2012-10-01,99.5599975585938
2013-01-01,99.379997253418
2013-04-01,99.8199996948242
2013-07-01,99.6399993896484
2013-10-01,99.2799987792969
2014-01-01,99.1399993896484
2014-04-01,98.8000030517578
2014-07-01,99.1399993896484
2014-10-01,99.2600021362305
2015-01-01,99.5199966430664
2015-04-01,99.870002746582
2015-07-01,100.599998474121
2015-10-01,100.519996643066
2016-01-01,100.080001831055
2016-04-01,99.8600006103516
2016-07-01,99.6999969482422
2016-10-01,100.089996337891
2017-01-01,99.6600036621094
2017-04-01,99.3099975585938
2017-07-01,99.0299987792969
2017-10-01,98.7200012207031
2018-01-01,98.879997253418
2018-04-01,99.3099975585938
2018-07-01,99.0800018310547
2018-10-01,100.139999389648
2019-01-01,99.4400024414062
2019-04-01,99.120002746582
2019-07-01,99.2099990844727
2019-10-01,98.75
2020-01-01,100.419998168945
2020-04-01,99.1800003051758
2020-07-01,98.5299987792969
2020-10-01,97.5400009155273
2021-01-01,97.75
2021-04-01,97.1600036621094
2021-07-01,97.4100036621094
2021-10-01,97.0500030517578
2022-01-01,97.8300018310547
