date,output,investment,consumption,hours_worked,unemployment,labor_share,interest,inflation,productivity,TFP
1955-01-01,981.988852865982,1307.41314973653,1376.34102011473,1757.82153206626,4.7,468.831247192088,0.335,0.46910589581083,336.217931464143,20.0465738413138
1955-04-01,983.204525508176,1312.41715416896,1376.77847871272,1758.92024525622,4.4,469.002500174535,0.375,0.408670203156979,336.560474573677,20.3733362811346
1955-07-01,984.09204202673,1314.78071224582,1376.88167748517,1760.36542776836,4.1,469.387199002321,0.485,0.69671520668662,336.925941812622,20.7672463913817
1955-10-01,984.203759021991,1315.62235948924,1377.38632229442,1761.2524185375,4.2,469.672071405598,0.59,0.985938683630872,336.563928626144,19.3496364123616
1956-01-01,983.403028752091,1312.24321750377,1377.56120951906,1760.06857230577,4,471.50246362454,0.62,0.997585585277931,335.35116074296,19.868497081198
1956-04-01,983.82020858375,1310.39614966046,1377.78402582986,1759.91099221808,4.2,472.316859497155,0.6725,0.586760723427938,335.842904981122,21.4977696415071
1956-07-01,983.263581156418,1309.45711258928,1377.42176192339,1759.87506156229,4.1,472.583961341654,0.7025,1.24686401014045,335.828988065088,20.9631042974938
1956-10-01,984.400290570124,1309.43773976288,1378.1693657878,1759.29832919777,4.1,472.601337385346,0.7325,0.402946217012022,336.894963411203,21.6700843232678
1957-01-01,984.591140439853,1308.85037558841,1377.77370371229,1759.28287759814,3.9,471.728815250371,0.7325,1.36346968339277,338.034820692619,22.6302071331467
1957-04-01,983.964212448737,1307.43912985119,1377.73328766641,1757.88186057938,4.1,472.506601313805,0.75,0.69520454479707,337.635809164851,24.1051619726243
1957-07-01,984.490459510383,1307.17485896212,1378.64864027735,1757.0768713657,4.2,471.9083037128,0.8075,0.595925106156393,339.033863832728,25.204268040254
1957-10-01,982.994864920126,1299.54236973423,1378.88552405283,1755.42284120514,4.9,472.66560250723,0.8125,0.0674946029942507,339.363552945487,27.4085954239092
1958-01-01,979.990323627956,1292.22681607669,1377.95848901815,1753.01857518974,6.3,473.700297014299,0.465,1.08043865509133,337.976943424854,27.7400844604331
1958-04-01,980.261694215115,1289.36593955095,1378.97474200661,1752.74216281755,7.4,472.542246514035,0.235,0.286599989558018,339.872766776123,27.9653769903112
1958-07-01,982.11380195191,1295.22749300793,1379.51964158667,1753.48418544801,7.3,472.456154686136,0.33,0.610445794529955,341.733316357156,27.9464187998226
1958-10-01,983.969541944835,1302.1907259945,1379.47779143369,1754.09553146985,6.4,470.738041085324,0.54,0.475154328931095,343.424523570836,28.1850297302832
1959-01-01,985.434982797458,1306.92176314452,1380.75147767339,1755.13054654022,5.8,471.128476801744,0.6425,0.230164833796662,343.546997560425,27.1708382937069
1959-04-01,987.277057987407,1312.31450718016,1381.62922523616,1755.9457019594,5.1,470.788477092392,0.77,0.157521691799797,344.511856872008,27.1908899973419
1959-07-01,986.920661855925,1307.60098621932,1382.42891134478,1755.0837957378,5.3,470.825624195346,0.895,0.386189319772389,344.652122762582,28.1009704887245
1959-10-01,986.765309952691,1307.44563431608,1383.22685550742,1755.29226928787,5.6,471.592890260027,0.9975,0.391211296362525,344.326659807773,29.0007360497858
1960-01-01,988.399887595227,1314.97582867193,1383.13890252177,1753.46231633288,5.1,471.300244420424,0.9825,0.396168727278595,346.632947659994,30.564315754901
1960-04-01,987.261588886904,1307.9419132503,1383.91270795813,1755.1998701541,5.2,473.301679163411,0.925,0.252468171002128,345.065399037475,30.4060037606837
1960-07-01,987.25127482367,1305.88653813993,1383.14193395637,1754.95781539862,5.5,472.903198220882,0.735,0.342079269906979,345.656901497491,30.9488292826483
1960-10-01,985.560947229166,1296.46704311527,1383.52911261936,1753.41480823779,6.3,474.338384751286,0.575,0.295953378212373,344.326659807773,31.7469095845936
1961-01-01,985.90130624343,1295.91053513125,1384.24260639491,1752.97761415986,6.8,473.841111874643,0.5,0.218186571829482,345.609583630959,31.6091806401024
1961-04-01,987.199688544476,1300.3133796005,1384.79332166166,1752.77416003043,7,472.446584350688,0.4325,0.230503367521705,348.203976950626,32.2194223986646
1961-07-01,988.68499113831,1306.07283703206,1384.57565027101,1751.81936595337,6.8,471.433930752439,0.42,0.255493240667674,349.892887015549,32.8546485507216
1961-10-01,990.198642640986,1308.00402567578,1385.70689212985,1752.30897255916,6.2,471.271196786501,0.6,0.312092224911909,350.747747437937,32.0397568368857
1962-01-01,991.610758389223,1311.47807014429,1386.15653654066,1752.59853370218,5.6,470.776976382432,0.615,0.513781219627924,352.36804658767,32.9876893754054
1962-04-01,992.162212273161,1311.20984730781,1387.09409129035,1752.98135896571,5.5,471.489287873173,0.6525,0.164359351748102,351.969127570994,32.5885826958563
1962-07-01,992.993472255098,1311.62873557136,1387.53925040654,1753.33205687059,5.6,470.422460368129,0.7125,0.208221673489431,353.619436644829,33.804992362747
1962-10-01,992.920403104076,1310.30824899782,1388.23689798001,1752.19574604182,5.5,470.656581898953,0.73,0.207789011576192,354.350680109818,34.963235181128
1963-01-01,993.677725040077,1313.54503679515,1388.22350319152,1752.57801577967,5.8,470.816780898559,0.7425,0.433077720664348,354.650911282221,34.8133115625744
1963-04-01,994.472546055237,1315.15287041863,1388.82471330399,1752.90538195502,5.7,470.521851605035,0.74,0.175208104391707,355.406151996395,34.8863482528457
1963-07-01,996.26522857041,1316.9455529338,1390.03430378808,1753.03024244373,5.5,469.140191039847,0.8325,0.131204917138334,357.828303277191,36.3013692189161
1963-10-01,996.533495586221,1318.02027593329,1389.91194530719,1752.95559289535,5.6,469.727518155782,0.8625,0.808411839995906,357.764058362201,36.229642277596
1964-01-01,998.308400680727,1320.99280013247,1391.49096395316,1754.64940637637,5.5,468.533108978533,0.865,0.315369893143577,358.38799843823,37.6439764603518
1964-04-01,999.076556064319,1321.36334067809,1392.84563128199,1755.2206392647,5.2,468.799668576863,0.8725,0.228176843472442,358.933532377755,36.9100825037121
1964-07-01,1000.26539240306,1322.9497918548,1394.03446762074,1755.16735823642,5,468.597328956771,0.865,0.39959478985116,359.958365162835,37.8112209323315
1964-10-01,1000.22010254722,1322.10768503404,1394.37828331419,1755.28133192971,5,469.968621991827,0.895,0.452988041985966,358.988750490699,37.5962743965115
1965-01-01,1002.33572983865,1330.42685141742,1395.12536529709,1756.44634224495,4.9,468.628971522614,0.995,0.499574573794777,360.413822565885,37.472427798128
1965-04-01,1003.31991590578,1330.27680982415,1396.30620826143,1756.80697701327,4.7,468.688613132536,1.02,0.460802367557178,360.872632367737,37.7761736053838
1965-07-01,1005.18213470418,1332.51853571941,1397.57729233352,1756.58437362095,4.4,467.317850222671,1.02,0.386403910106274,362.886402170395,39.862564571722
1965-10-01,1007.13720615323,1334.0941000716,1399.53236378257,1757.39171714875,4.1,466.706941102511,1.0425,0.68460512400684,364.605023813852,40.5175024708233
1966-01-01,1009.29502174814,1339.61671907834,1400.49732229096,1757.52415332147,3.9,466.79075992981,1.14,0.638331772258889,365.957936840238,41.3364949138972
1966-04-01,1009.37359421461,1337.08806751382,1401.37271172234,1757.77410191374,3.8,468.025134518548,1.2275,0.81729800516185,365.263032143882,40.8296200759329
1966-07-01,1009.90954536558,1336.86643928395,1401.51104803535,1757.75373430341,3.8,468.37192523949,1.3525,0.962674727320396,365.591711641111,41.0703112593423
1966-10-01,1010.42218823372,1336.99812931043,1401.62448877654,1757.64565256782,3.7,467.940524062744,1.39,0.831907994513429,366.209903857897,42.01007724817
1967-01-01,1011.05830194287,1334.13874151622,1402.46040275196,1756.48331159229,3.8,468.00603518833,1.205,0.416257755462096,366.997692161087,43.9630005621573
1967-04-01,1010.87115025474,1332.75873274156,1403.26630788408,1756.73846943755,3.8,468.684096073864,0.9975,0.506417609884929,367.363890469765,45.0784102776515
1967-07-01,1011.53274576789,1333.81953038167,1403.53186327563,1757.14037612705,3.8,468.660604079104,0.9725,0.954047626054125,367.872810305756,44.6760729414566
1967-10-01,1012.00494924848,1335.47986665093,1403.60645191825,1757.63759907067,3.9,468.772593253148,1.0425,1.10823253433317,368.160304514316,45.5790666012374
1968-01-01,1013.80852538955,1338.0677605381,1405.21062619863,1756.96114911941,3.7,468.175981927769,1.1975,1.10164681876054,370.366953958657,47.0408393537612
1968-04-01,1015.23768202688,1340.66197889742,1406.43998256969,1757.97418009417,3.6,467.773823197468,1.495,1.0511271817419,371.301093368886,47.6670779486946
