h,impulse,response,median,pctl_16,pctl_84,model,irf
1,unemployment,output,-0.645943740010815,-0.698570766389656,-0.589444734359869,bayesian_fd,
2,unemployment,output,-0.660194674317296,-0.728798786848455,-0.589440147231853,bayesian_fd,
3,unemployment,output,-0.642228372390584,-0.73614787601801,-0.552504794700057,bayesian_fd,
4,unemployment,output,-0.602277947047494,-0.713737049698271,-0.49904275535509,bayesian_fd,
5,unemployment,output,-0.555031226620288,-0.680862103516747,-0.439772675760325,bayesian_fd,
6,unemployment,output,-0.503716614747686,-0.639357856423388,-0.37319440923415,bayesian_fd,
7,unemployment,output,-0.447915943665694,-0.594442088380913,-0.308921599581365,bayesian_fd,
8,unemployment,output,-0.390170346266921,-0.545804788835629,-0.243254768631909,bayesian_fd,
9,unemployment,output,-0.335373430287269,-0.498760650468169,-0.179169571851456,bayesian_fd,
10,unemployment,output,-0.278775349506455,-0.453617002653292,-0.121392765964404,bayesian_fd,
11,unemployment,output,-0.228162629231384,-0.411974504811833,-0.0622421957874676,bayesian_fd,
12,unemployment,output,-0.186480842643153,-0.368024684470618,-0.014440199519535,bayesian_fd,
13,unemployment,output,-0.146077708714401,-0.328212669837347,0.0303226948272361,bayesian_fd,
14,unemployment,output,-0.11577692706736,-0.301105114593789,0.0614716877130193,bayesian_fd,
15,unemployment,output,-0.0904027518583681,-0.273506451629812,0.0966536215315491,bayesian_fd,
16,unemployment,output,-0.0692302184204585,-0.251201493131263,0.121488100399274,bayesian_fd,
17,unemployment,output,-0.0508328271315462,-0.230750258245573,0.143071015600611,bayesian_fd,
18,unemployment,output,-0.0381122681332401,-0.217751905382388,0.154503140768612,bayesian_fd,
19,unemployment,output,-0.0280516768462443,-0.213003616148926,0.164655019300454,bayesian_fd,
20,unemployment,output,-0.0246292549475905,-0.208055662502907,0.170557170883475,bayesian_fd,
21,unemployment,output,-0.0195883466765836,-0.206949337906155,0.171449898944723,bayesian_fd,
22,unemployment,output,-0.0218421370778056,-0.204041664107204,0.168526605964801,bayesian_fd,
23,unemployment,output,-0.0258547242147723,-0.20521990701756,0.159606885359724,bayesian_fd,
24,unemployment,output,-0.0274142785889907,-0.20965124977689,0.149735980505668,bayesian_fd,
25,unemployment,output,-0.0327262653312105,-0.214295453227124,0.142361464258424,bayesian_fd,
26,unemployment,output,-0.0394562071498796,-0.219305095156401,0.131038350531945,bayesian_fd,
27,unemployment,output,-0.0475487735642686,-0.226773204964666,0.121118903701731,bayesian_fd,
28,unemployment,output,-0.0575190467062128,-0.235540422917493,0.108820167268721,bayesian_fd,
29,unemployment,output,-0.0657695633599585,-0.241027690512465,0.097651961540022,bayesian_fd,
30,unemployment,output,-0.074364804217542,-0.249180179983064,0.0895116286429528,bayesian_fd,
31,unemployment,output,-0.0821220996638201,-0.254198529108962,0.0780389856803572,bayesian_fd,
32,unemployment,output,-0.0896035184289277,-0.262090274756633,0.0666410681393361,bayesian_fd,
33,unemployment,output,-0.0941235090016085,-0.266971331176279,0.0570483385446124,bayesian_fd,
34,unemployment,output,-0.101040215377037,-0.270720205132471,0.0468925434580379,bayesian_fd,
35,unemployment,output,-0.106612401127438,-0.272580390725106,0.0420455264280701,bayesian_fd,
36,unemployment,output,-0.110989030488748,-0.275506025081384,0.0387452284045619,bayesian_fd,
37,unemployment,output,-0.11422289764768,-0.278616235934305,0.0351070430916168,bayesian_fd,
38,unemployment,output,-0.118149712301762,-0.280842725444187,0.0301383061799874,bayesian_fd,
39,unemployment,output,-0.120473331129985,-0.283160102845421,0.0267307884808591,bayesian_fd,
40,unemployment,output,-0.121760653737154,-0.288343225586911,0.0261705474747396,bayesian_fd,
1,unemployment,investment,-2.3386954450789,-2.51370732663148,-2.14045062291856,bayesian_fd,
2,unemployment,investment,-2.39257505872123,-2.60473470759903,-2.14416271929305,bayesian_fd,
3,unemployment,investment,-2.191290783249,-2.46779316781897,-1.89077873796753,bayesian_fd,
4,unemployment,investment,-1.93901663685567,-2.28587344303813,-1.59129267659671,bayesian_fd,
5,unemployment,investment,-1.67477439619519,-2.06207889778673,-1.27643598439084,bayesian_fd,
6,unemployment,investment,-1.39784345453621,-1.83089263299738,-0.957337349300595,bayesian_fd,
7,unemployment,investment,-1.12378273501448,-1.58379371918984,-0.664887612419502,bayesian_fd,
8,unemployment,investment,-0.866767309116021,-1.34133673051679,-0.403198186696951,bayesian_fd,
9,unemployment,investment,-0.632601486284993,-1.11107244538817,-0.160575175763426,bayesian_fd,
10,unemployment,investment,-0.41552270247302,-0.90073425950726,0.0655003559692573,bayesian_fd,
11,unemployment,investment,-0.221462323927701,-0.709805765656784,0.252569491502091,bayesian_fd,
12,unemployment,investment,-0.0627538795715712,-0.54696529336483,0.402312787647907,bayesian_fd,
13,unemployment,investment,0.0691069659757687,-0.39629925829687,0.543392559766516,bayesian_fd,
14,unemployment,investment,0.184590323355195,-0.291682062537735,0.658669308794618,bayesian_fd,
15,unemployment,investment,0.252326638562616,-0.199141109127204,0.730503136560564,bayesian_fd,
16,unemployment,investment,0.319144115307624,-0.132830325494253,0.794282849792385,bayesian_fd,
17,unemployment,investment,0.351966010850043,-0.0951739058326078,0.831235086065972,bayesian_fd,
18,unemployment,investment,0.367452084470317,-0.0780704839724477,0.8469473979308,bayesian_fd,
19,unemployment,investment,0.364500672825685,-0.068756848686949,0.837686102647152,bayesian_fd,
20,unemployment,investment,0.354899908951112,-0.0730725594546595,0.829830108640319,bayesian_fd,
21,unemployment,investment,0.328712077172764,-0.0695441276618656,0.795304032033541,bayesian_fd,
22,unemployment,investment,0.293936939780185,-0.0888669000114995,0.754936318551266,bayesian_fd,
23,unemployment,investment,0.256826370262953,-0.118874161648468,0.698574739642316,bayesian_fd,
24,unemployment,investment,0.21289637553247,-0.153740160540559,0.635720725419407,bayesian_fd,
25,unemployment,investment,0.171797785870969,-0.192039724533986,0.581413361659787,bayesian_fd,
26,unemployment,investment,0.123323808565959,-0.221121044566559,0.515277449732445,bayesian_fd,
27,unemployment,investment,0.0788041503180658,-0.256788479358765,0.459369505428556,bayesian_fd,
28,unemployment,investment,0.0343868620555576,-0.296491628832261,0.400076048447249,bayesian_fd,
29,unemployment,investment,-0.00323971545569871,-0.332061582133237,0.347118273508607,bayesian_fd,
30,unemployment,investment,-0.0391862891050385,-0.356934349575922,0.290887248940262,bayesian_fd,
31,unemployment,investment,-0.0813388798847096,-0.388167263205831,0.231810371162095,bayesian_fd,
32,unemployment,investment,-0.114379317604463,-0.417727068820329,0.191258139765314,bayesian_fd,
33,unemployment,investment,-0.141875964731306,-0.448479063489483,0.154259307046356,bayesian_fd,
34,unemployment,investment,-0.163363209191493,-0.461656982850416,0.126206834574517,bayesian_fd,
35,unemployment,investment,-0.180068072399231,-0.474662000993833,0.103740425959081,bayesian_fd,
36,unemployment,investment,-0.195851914895873,-0.490695569582428,0.084008227335988,bayesian_fd,
37,unemployment,investment,-0.204097552729979,-0.498070910904965,0.0591857427244269,bayesian_fd,
38,unemployment,investment,-0.210678090018245,-0.50665791164538,0.0506072618810484,bayesian_fd,
39,unemployment,investment,-0.213542853212021,-0.511822341698432,0.0375715094322947,bayesian_fd,
40,unemployment,investment,-0.212410744509531,-0.513049715319745,0.0300093148266849,bayesian_fd,
1,unemployment,consumption,-0.116509984706658,-0.153063859853873,-0.0816866102111792,bayesian_fd,
2,unemployment,consumption,-0.173239530496903,-0.211283027124871,-0.134254187914113,bayesian_fd,
3,unemployment,consumption,-0.197552232711026,-0.241009882897117,-0.150668691564486,bayesian_fd,
4,unemployment,consumption,-0.206429607789494,-0.261047860305255,-0.149232187128811,bayesian_fd,
5,unemployment,consumption,-0.206239212718555,-0.270570225462718,-0.137180196776627,bayesian_fd,
6,unemployment,consumption,-0.196729442364434,-0.271483200765013,-0.122670778985625,bayesian_fd,
7,unemployment,consumption,-0.183495603079839,-0.265937882507169,-0.0999447939755257,bayesian_fd,
8,unemployment,consumption,-0.165959829301642,-0.255972732839052,-0.075926223128254,bayesian_fd,
9,unemployment,consumption,-0.145285107109175,-0.246218557627814,-0.0461594349201794,bayesian_fd,
10,unemployment,consumption,-0.124480708401554,-0.232071911444237,-0.0168478464950054,bayesian_fd,
11,unemployment,consumption,-0.103380370070088,-0.216806824516166,0.0113931679325803,bayesian_fd,
12,unemployment,consumption,-0.0830364352610613,-0.202098608007176,0.0439281112098803,bayesian_fd,
