date,mp_shock_ns,mp_shock_mr,mp_shock_rr,mp_shock_int_rr_mar_ns,mp_shock_int_rr_ns
1969-01-01,,,-0.0227409992367029,-0.0227409992367029,-0.0227409992367029
1969-04-01,,,0.0674920007586479,0.0674920007586479,0.0674920007586479
1969-07-01,,,0.0484360009431839,0.0484360009431839,0.0484360009431839
1969-10-01,,,0.0165860000997782,0.0165860000997782,0.0165860000997782
1970-01-01,,,-0.0574540011584759,-0.0574540011584759,-0.0574540011584759
1970-04-01,,,-0.00259699998423457,-0.00259699998423457,-0.00259699998423457
1970-07-01,,,-0.092568002641201,-0.092568002641201,-0.092568002641201
1970-10-01,,,-0.0599920004606247,-0.0599920004606247,-0.0599920004606247
1971-01-01,,,-0.0893500000238419,-0.0893500000238419,-0.0893500000238419
1971-04-01,,,0.0877010002732277,0.0877010002732277,0.0877010002732277
1971-07-01,,,-0.0100339995697141,-0.0100339995697141,-0.0100339995697141
1971-10-01,,,-0.152748003602028,-0.152748003602028,-0.152748003602028
1972-01-01,,,-0.0123690003529191,-0.0123690003529191,-0.0123690003529191
1972-04-01,,,-0.0341130010783672,-0.0341130010783672,-0.0341130010783672
1972-07-01,,,-0.0111760003492236,-0.0111760003492236,-0.0111760003492236
1972-10-01,,,-0.00591100007295609,-0.00591100007295609,-0.00591100007295609
1973-01-01,,,0.0528649985790253,0.0528649985790253,0.0528649985790253
1973-04-01,,,0.0581529997289181,0.0581529997289181,0.0581529997289181
1973-07-01,,,-0.0238790009170771,-0.0238790009170771,-0.0238790009170771
1973-10-01,,,-0.118995003402233,-0.118995003402233,-0.118995003402233
1974-01-01,,,0.0731870010495186,0.0731870010495186,0.0731870010495186
1974-04-01,,,0.0991349965333939,0.0991349965333939,0.0991349965333939
1974-07-01,,,-0.062219999730587,-0.062219999730587,-0.062219999730587
1974-10-01,,,-0.0307049993425608,-0.0307049993425608,-0.0307049993425608
1975-01-01,,,-0.0604309998452663,-0.0604309998452663,-0.0604309998452663
1975-04-01,,,-0.0243239998817444,-0.0243239998817444,-0.0243239998817444
1975-07-01,,,-0.0192970000207424,-0.0192970000207424,-0.0192970000207424
1975-10-01,,,-0.0292889997363091,-0.0292889997363091,-0.0292889997363091
1976-01-01,,,-0.0815029963850975,-0.0815029963850975,-0.0815029963850975
1976-04-01,,,-0.0145269995555282,-0.0145269995555282,-0.0145269995555282
1976-07-01,,,-0.0205499995499849,-0.0205499995499849,-0.0205499995499849
1976-10-01,,,-0.0211839992552996,-0.0211839992552996,-0.0211839992552996
