date,fci_g
1990-01-01,0.258901765562087
1990-04-01,0.229755805519963
1990-07-01,0.334474732881181
1990-10-01,-0.108690284373941
1991-01-01,-0.536721340246771
1991-04-01,-0.321040875300569
1991-07-01,-0.440919311162618
1991-10-01,-0.820614803858998
1992-01-01,-0.650098202839844
1992-04-01,-0.50827717598439
1992-07-01,-0.799896630313155
1992-10-01,-0.583879622408471
1993-01-01,-0.639674012883513
1993-04-01,-0.678601798373701
1993-07-01,-0.706955347073033
1993-10-01,-0.525258636145753
1994-01-01,-0.0393748332291697
1994-04-01,0.449232974741444
1994-07-01,0.281296342114419
1994-10-01,0.425689935129215
1995-01-01,0.268327645650054
1995-04-01,-0.36569459117475
1995-07-01,-0.530333423184846
1995-10-01,-0.550761676912036
1996-01-01,-0.51049953154191
1996-04-01,-0.257134006198848
1996-07-01,-0.283985960141556
1996-10-01,-0.54631605658458
1997-01-01,-0.402213557636674
1997-04-01,-0.651758956983838
1997-07-01,-0.860647686401022
1997-10-01,-0.726836046885168
1998-01-01,-0.66451630909777
1998-04-01,-0.535859114005462
1998-07-01,-0.116151074890117
1998-10-01,-0.718849747536412
1999-01-01,-0.713882063683482
1999-04-01,-0.75433661230095
1999-07-01,-0.401293264782882
1999-10-01,-0.737830960751794
2000-01-01,-0.578275338325013
2000-04-01,-0.239067018773781
2000-07-01,-0.208021163329862
2000-10-01,0.0849209627394895
2001-01-01,0.140828465907092
2001-04-01,-0.0214372037839034
2001-07-01,0.161908764329438
2001-10-01,-0.148413362666502
2002-01-01,-0.0238676802693768
2002-04-01,0.19190859393803
2002-07-01,0.353639135103306
2002-10-01,0.145993225103085
2003-01-01,-0.0539871323830553
2003-04-01,-0.754218147700528
2003-07-01,-0.723429429044749
2003-10-01,-1.17445210404587
2004-01-01,-1.36220823132958
2004-04-01,-0.966721384859979
2004-07-01,-0.971391364423366
2004-10-01,-1.24626614956459
2005-01-01,-1.15781638343877
2005-04-01,-1.0987758532213
2005-07-01,-1.07754880309069
2005-10-01,-0.73374102058151
2006-01-01,-0.724720087543434
2006-04-01,-0.43191019629693
2006-07-01,-0.450176459441941
2006-10-01,-0.575505920728319
2007-01-01,-0.490894625023619
2007-04-01,-0.573410679582765
2007-07-01,-0.507232845593812
2007-10-01,-0.598979205630384
2008-01-01,-0.505112183185976
2008-04-01,-0.362417150066792
2008-07-01,0.245913355544263
2008-10-01,1.47109408979857
2009-01-01,1.83095385902432
2009-04-01,1.28029921850388
2009-07-01,0.632838144069242
2009-10-01,0.175241945432374
2010-01-01,-0.0258544243776645
2010-04-01,0.208100493465805
2010-07-01,-0.238772463133243
2010-10-01,-0.624260042194863
2011-01-01,-0.76080972732634
2011-04-01,-1.0287429467717
2011-07-01,-0.766748034549463
2011-10-01,-0.803941048695501
2012-01-01,-0.900772957885139
2012-04-01,-0.522497981087168
2012-07-01,-0.569750112129546
2012-10-01,-0.658256632361228
2013-01-01,-0.843101859958358
2013-04-01,-0.82451234426095
2013-07-01,-0.603499136906736
2013-10-01,-0.832886505867921
2014-01-01,-0.768195992924098
2014-04-01,-0.935045760786879
2014-07-01,-0.853787918398847
2014-10-01,-0.624261799015477
2015-01-01,-0.257491822650587
2015-04-01,-0.123317416564925
2015-07-01,0.323446898742094
2015-10-01,0.264552968706629
2016-01-01,0.302862286945996
2016-04-01,-0.00511506828113583
2016-07-01,-0.145191639726831
2016-10-01,0.0142832158572265
2017-01-01,-0.00789751529214316
2017-04-01,-0.264398304848682
2017-07-01,-0.575248126530436
2017-10-01,-0.674840912708035
2018-01-01,-0.667325917532339
2018-04-01,-0.535968518870231
2018-07-01,-0.527091189928947
2018-10-01,0.0635406567575018
2019-01-01,-0.358716354307027
2019-04-01,-0.449160887919461
2019-07-01,-0.493426775196485
2019-10-01,-0.664010656372019
2020-01-01,-0.134393621787839
2020-04-01,-0.474665957603915
2020-07-01,-0.90382512565386
2020-10-01,-1.39160521646314
2021-01-01,-1.53184115757115
2021-04-01,-1.75246321733049
2021-07-01,-1.62737024442284
2021-10-01,-1.56008993273755
2022-01-01,-1.02727833276596
2022-04-01,0.039543309169261
2022-07-01,0.643578690353431
2022-10-01,0.99932746916768
2023-01-01,0.552053775577174
2023-04-01,0.487097765110387
2023-07-01,0.701607046419688
2023-10-01,0.533888444233268
2024-01-01,0.0760507598902403
2024-04-01,0.106728199569195
