date,gz,ebp,rec_est_prob
1973-01-01,0.995689366793631,-0.0929475022637902,0.188782934441199
1973-04-01,1.14226280807983,0.0499274164680041,0.236731122009525
1973-07-01,0.770816861878993,-0.348055123561394,0.119407385275053
1973-10-01,1.23735609887186,0.0124018239381622,0.223527540441283
1974-01-01,1.16420549138832,-0.078261215553012,0.193416554525922
1974-04-01,1.75191199770367,0.672314016822496,0.501688200571159
1974-07-01,2.19485623533031,0.908828808184618,0.609591538542923
1974-10-01,2.52326734241691,1.16753240522936,0.718362929293667
1975-01-01,1.83142152026248,0.598131925924434,0.467436801448295
1975-04-01,1.4051214139132,0.247355754527788,0.312732671306111
1975-07-01,1.36641613527531,0.291104799100801,0.330898955117867
1975-10-01,1.19910740111899,-0.0395949854183242,0.205943735738844
1976-01-01,0.995522519169208,-0.0988935388977709,0.186926541454444
1976-04-01,0.998027705588457,-0.0376320697129733,0.206592265576794
1976-07-01,0.83918183790734,-0.195965419130774,0.158233304779811
1976-10-01,1.08401679206854,-0.034128351968387,0.207752864511671
1977-01-01,0.907125048741014,-0.159769873617573,0.168575513105138
1977-04-01,0.839943412537809,-0.26392347752459,0.139964103913631
1977-07-01,0.943336649159215,-0.13825588347024,0.174924087258934
1977-10-01,0.78827636770065,-0.331826429178183,0.123197098473
1978-01-01,0.725526872797218,-0.334714621696374,0.122516555383957
1978-04-01,0.629906621542395,-0.444810441586283,0.0985159781909031
1978-07-01,0.643632308796522,-0.318827584437005,0.126292784101845
1978-10-01,0.644421387310744,-0.391476391630916,0.109674363675144
1979-01-01,0.650652020527043,-0.191503477259075,0.159485233767613
1979-04-01,0.73858144294492,-0.186685924240078,0.160844199860916
1979-07-01,0.695094022218657,-0.156247024845767,0.169604805619988
1979-10-01,0.833264942683668,0.0893144686219556,0.251038973649498
1980-01-01,0.978799858847327,0.244091170414408,0.311394452883651
1980-04-01,0.940241264249775,-0.264415037465454,0.139837404258158
1980-07-01,0.925509438790228,-0.0978269888603134,0.187258691691652
1980-10-01,1.09629666591133,0.038228126260434,0.232569256168037
1981-01-01,0.867783273625437,-0.0511050038273203,0.202165295413164
1981-04-01,1.09141832767887,0.394446973349276,0.375355738073487
1981-07-01,1.15701068712758,0.374637221221176,0.366682532864194
1981-10-01,1.44175181808997,0.546570901504229,0.443756201403652
1982-01-01,1.61328276070176,0.913892139160238,0.611841138390215
1982-04-01,1.54080937357554,0.716920381601847,0.522294062766794
1982-07-01,1.63923034169648,0.493959252700271,0.419798981792186
1982-10-01,1.5792992945669,0.623710145960581,0.479232436373935
1983-01-01,0.996053256714054,0.099831208895707,0.254935273110083
1983-04-01,0.84510141610999,-0.0257094679468932,0.210557298148203
1983-07-01,0.888581689815465,-0.122795559645008,0.179578735596869
1983-10-01,0.923701429467253,0.0361804381739694,0.231845024638156
1984-01-01,0.925959525178111,-0.0254890416129892,0.210631022071606
1984-04-01,0.749200362128083,-0.109914716999297,0.18351565204225
1984-07-01,0.896757567489404,-0.081549160959415,0.19237320288508
1984-10-01,0.939701242062879,-0.0447843323188317,0.204235048350769
1985-01-01,0.988148757552069,0.037457049858038,0.23229639236372
1985-04-01,1.19861160519939,0.0100991728494466,0.22273121352719
1985-07-01,1.1740944743272,0.0820075682219186,0.248350539107517
1985-10-01,1.43036933341374,-0.0415893310067006,0.205286060082168
1986-01-01,2.07959504780026,0.60509500083066,0.4706454944766
1986-04-01,1.96840308611146,0.117796232661993,0.261663534499741
1986-07-01,1.9817993052711,0.335577794281984,0.349782990147414
1986-10-01,2.02409719657623,0.646343812079175,0.489685686599802
1987-01-01,1.92658473472399,0.468426746204868,0.408273130572771
1987-04-01,1.72808405062811,0.186670899454217,0.288276090352754
1987-07-01,1.58903437466611,0.251672223404251,0.314505872441654
1987-10-01,1.65910086337344,0.00237139057161317,0.220070560777052
1988-01-01,1.6007712603037,-0.051845384228917,0.201923675919506
1988-04-01,1.55953667547494,0.18679629147019,0.288325682227837
1988-07-01,1.5380109248757,0.263540344347631,0.319403291840407
1988-10-01,1.61935483756285,0.423556298552214,0.388214506606313
1989-01-01,1.64710454425015,0.539472852055206,0.440510001189058
1989-04-01,1.97878597480268,0.735187893049854,0.530718673020314
1989-07-01,1.73928227165543,0.708063122047535,0.518205448652933
1989-10-01,1.53977633201913,0.563889139691744,0.451691892457402
1990-01-01,1.42688009728935,0.465187037490187,0.406816102818195
1990-04-01,1.22443520347322,0.157653374489216,0.276909462586495
1990-07-01,1.12645346757115,0.00618907243902699,0.221382692422966
1990-10-01,1.55407931040216,0.404688642635009,0.379864947921302
1991-01-01,1.3712527152406,0.288738070156678,0.32990543722449
1991-04-01,1.28466782571359,0.127565704126152,0.26536027607766
1991-07-01,1.3916589693681,0.198406305312273,0.292934712694147
1991-10-01,1.52621811875518,0.21905555294702,0.301215592685202
1992-01-01,1.20561362709436,0.0658007478141542,0.242442744578843
1992-04-01,1.19592495122044,0.0031903998572107,0.220351676589365
1992-07-01,1.52447708030783,0.182141197706665,0.286487320710567
1992-10-01,1.35072232981212,0.108037834336581,0.257997546138743
1993-01-01,1.36276583698371,0.0243281010502454,0.227677831510347
1993-04-01,1.31653175609479,-0.0566994504536567,0.200343861791204
1993-07-01,1.41065345572723,0.0254877338128234,0.228083679656338
1993-10-01,1.24917429393932,-0.169813708719312,0.165663040711451
1994-01-01,1.20510777399972,-0.310761622770653,0.128240735617133
1994-04-01,1.20497704567481,-0.313902103621759,0.127479835053491
1994-07-01,1.16051531299413,-0.389409436609584,0.110124365134602
1994-10-01,1.26328972607475,-0.19712294668131,0.157909582759353
1995-01-01,1.22286292133965,-0.288841975824475,0.133639423693867
1995-04-01,1.32123455435395,-0.140023773758241,0.174396748731567
1995-07-01,1.25154331147596,-0.162703309813216,0.167721503548092
1995-10-01,1.39876084454932,-0.0539752237414342,0.201229577864335
1996-01-01,1.24947850326025,-0.330264311393035,0.123566281276694
1996-04-01,1.26091862609459,-0.267085033736179,0.139150574238854
1996-07-01,1.22712453962617,-0.385333580894871,0.111015606717069
1996-10-01,1.23881835293583,-0.395631838842462,0.108773670043427
1997-01-01,1.21226632966253,-0.483777177777578,0.0909054142610642
1997-04-01,1.14640025930795,-0.541373352222742,0.0804680198912984
1997-07-01,1.15259073104076,-0.55850877444624,0.077544592551066
1997-10-01,1.30184743955611,-0.397856463371418,0.10829367411961
1998-01-01,1.29930128646241,-0.380928391030753,0.111984657742224
1998-04-01,1.31270143964114,-0.334824512110332,0.122490714164844
1998-07-01,2.11870182564526,0.086889714234514,0.250145127927602
1998-10-01,1.9540907357907,0.0570419079223223,0.239281900518888
1999-01-01,1.67371583824989,-0.158493263267933,0.16894804338393
1999-04-01,1.69606492746691,-0.134908610886348,0.175925303193893
1999-07-01,2.02760214354919,0.10163400182426,0.255606344812032
1999-10-01,1.86335148070952,-0.147906250998996,0.172057816172303
2000-01-01,2.47468679820251,0.395943394467923,0.37601353867175
2000-04-01,2.81574090039265,0.770399615244644,0.546915609430647
